,0
0,"We call for another postponement of the planned European ""Farm to Fork” Strategy until at least after the summer. It's surely not the right moment to impose additional rules on farmers. #Coronacrisis #agriculture #COVID2019 @HerbertDorfmann #farmers"
1,UNCTAD urgently calls for a $2.5 trillion #coronavirus aid package to help developing countries avoid worst-case scenarios and impacts. https://bit.ly/2JoRTub #COVID19
2,#coronavirusQA I picked up a family member from hospital he as pneumonia so both of us were masks and gloves he sat in the back of the car.on way home he was called by hospital who said he has corona virus do I now need to isolate
3,"The names of the first three doctors to have died from the Coronavirus: Mr. Amged el-Hawrani Dr. Adel el-Tayar Dr. Habib Zaidi Stick that on the front of the Mail, Sun, Express and Telegraph. #Covid_19 #coronavirus"
4,"""Dr Horton said the Government’s plan had ‘failed’, and that not following WHO advice was a mistake. He wrote: ‘They didn’t isolate and quarantine. They didn’t contact trace.These basic principles were ignored for reasons that remain opaque’."""
5,Extremely urgent: 200 women in Central Prison of Urmia go on hunger strike in protest. Death of a female prisoner due to #coronavirus infection sparks outrage. https://women.ncr-iran.org/2020/03/29/200-women-in-central-prison-of-urmia-go-on-hunger-strike-in-protest/ .@UN_Women .@DubravkaSRVAW .@ForstMichel .@JavaidRehman .@mbachelet
6,"RABAT, March 27 (Reuters) - The European Union pledged 450 million euros in aid to help Morocco counter the coronavirus, a joint EU-Moroccan statement said on Friday. Why?"
7,This amused my little brain: Diane Abbott has said she is going to have the Coronavirus test later today. She thinks she'll do very well as she's been up all night revising for it. 😂😂😂
8,"South African police enforcing a coronavirus lockdown on Saturday fired rubber bullets towards hundreds of shoppers queueing outside a supermarket in Johannesburg, an AFP photographer said http://u.afp.com/3qS8"
9,"“Either the EU does what it needs to be done or it will end,” said Portuguese Prime Minister António Costa"
10,"VIDEO: 🇪🇸 Madrid's streets lie empty after the death toll from #coronavirus in Spain soared over 4,800 with 769 people dying in 24 hours, a record one-day figure for fatalities in the country, the government said "
11,"#PakistanPost has started delivering pensions to 1.5 million people at their doorstep to protect them from #coronavirus by ensuring social distancing &amp; staying-at-home. In 3 days PKR 3.1 bn were paid out to 200,000 pensioners. @ImranKhanPTI @PakistanPMDU @PakPostOffice #COVID19"
12,"""For too long, politicians have assumed that child care and elderly care can be “soaked up” by private citizens—mostly women—effectively providing a huge subsidy to the paid economy. This pandemic should remind us of the true scale of that distortion."""
13,"Here's the article, headlined ""Coronavirus in the United States: a gigantic aid plan, a minimum in the absence of a social safety net."" "
14,"Iran's Ayatollah Khamenei refuses U.S. medical aid, falsely accusing America of using the coronavirus as a biological weapon against the Iranian people . Will the U.N. call out the Supreme Leader for spouting malicious anti-American conspiracy theories? "
15,"The US Congress approved a 2-trillion coronavirus aid package. Even though I welcome all the efforts from the @EU_Commission in presenting measures to fight #covid19, the EU response cannot be only 37bn euros. It is simply not sufficient."
16,my sis said gg in the chat for #coronavirus 
17,"A 21- year- old woman with no underlying health concerns has died from #coronavirus, her family said. Chloe Middleton is believed to be the UK’s youngest victim with no existing medical issues: "
18,"Swedish climate activist Greta Thunberg said that it was ""extremely likely"" that she had contracted the new coronavirus, after experiencing several symptoms following a trip to central Europe "
19,"An ice rink inside a Madrid shopping mall was turned into a temporary morgue to deal with a surge in deaths in the Spanish capital due to the coronavirus, local officials said "
20,"Hardest hit by Coronavirus, but Italy has joined Slovenia, Austria and Hungary in sending emergency aid to Croatia after earthquake (tents, folding beds + more) after Croatia activated EU civil protection mechanism."
21,"What's better than one person I love on the screen? Two people I love, that's what. Two top journalists compare Brussels to London. . . . #CoronaCrisis #Covid_19 #coronavirus #BelgiumLockdown #londonlockdown @vkatsardis @zaidi_mariam"
22,"Dr Mike Ryan of WHO said 'the most important single factor in fighting #coronavirus spread is speed'. #Chinese Red Cross has just advised Italians to stop all ""economic activities and cut the mobility of people""- And #Italy is in more lockdown than Ireland ! Delay is disastrous.."
23,#CoronaVirus might impact our schools but not our desire to learn! #MySuperHero’s maiden recital of the divine #GayatriMantra #5YearOld #GayatriMantraInGeneva #WeWillFightCorona #InsideWithInnerself @SadhguruJV @InnrEngineering
24,"French Prime Minister Edouard Philippe said in an interview with France 2 tonight that though UK citizens are exempted from this EU ban for now, this could change if the UK doesn’t quickly align its #CoronaVirus protections with the rest of Europe."
25,"#Coronavirus: Europe plans full border closure in virus battle. ""Concretely, all trips between non-European countries and EU countries will be suspended,"" French President Macron said in a televised address on Monday. #COVID19"
26,"Am I the only one who doesn't panic or worry about Coronavirus? What worries me most is that if I ever have it I can infect other people but except this I am not afraid, it is the equivalent of a big flu"
27,"*I*, as many others, severely underestimated the severity of the coronavirus Probably because I didn’t paid enough attention to this ⤵️ Please do NOT do the same mistake "
28,Here is your challenge : You are on the start line of the biggest race in Israel 🇮🇱 - with no TEAM around you. They are all #coronavirus quarantined. “I was under a lot of pressure “ said OMER LAHAV who took the only path: ATTACK. full story : https://www.facebook.com/515137875256442/posts/2238971486206397/
29,Belgian health minister Maggie De Block is asked in English why Belgium doesn’t have measures in place yet for #CoronaVirus. ‘No measures? I’m afraid you’re not informed’ she says before walking away. #coronavirusBelgie – at Europa building - European Council/Council of the European Union
30,What will be the impact of Coronavirus? End of Freedom of Movement? A Global Financial Crisis? Both will have a major impact on the EU and Eurozone. But the same could be said for UK trade talks. We live in interesting times and how this will play out for Brexit and Transition
31,#Coronavirus: World Bank $12 billion aid package to prioritise support to the poorest and most at-risk countries to counter the effects of #Covid_19 which has spread to more than 70 countries around the world #ResilienceForAll
32,"Thinking of Italy, proud of my country that is going through a difficult period with courage,awareness,tenacity and altruism. Many thanks to the Italian doctors,nurses and researchers who work every day at their own risk to manage the #Coronavirus emergency. I'm sure we’ll manage "
33,#EUAntitrust #coronavirus The Commission remains committed to providing swift antitrust guidance on cooperation initiatives in view of the coronavirus crisis and today launched a dedicated website on this subject https://ec.europa.eu/commission/presscorner/detail/en/mex_20_560
34,"All #migrants &amp; #asylumseekers living in #Portugal are to be treated as permanent residents during the #coronavirus crisis, the govt has announced. They will be free to use country’s health service, welfare system, bank accounts, &amp; work &amp; rental contracts "
35,"Mind the last mile: Agustín Carstens calls for urgent action to bridge the last mile and get central bank liquidity, via banks, to the businesses that need it most #smallbusiness #SMEs #BankLending #taxes #tradefinance #Covid19 #coronavirus @FT @FTOpinion"
36,The implementation date of outstanding #BaselIII standards has been deferred by one year to provide #banks and supervisors with additional capacity to respond immediately and effectively to the impact of #coronavirus #COVID19 https://bit.ly/2JgcLDP
37,"#BaselCommittee’s oversight body, the Group of Central Bank Governors and Heads of Supervision, has announced Basel III will be deferred by one year to increase the operational capacity of #banks &amp; supervisors to respond to #coronavirus #BaselIII https://www.bis.org/press/p200327.htm"
38,"Coronavirus, the EU tech bubble angle: - Likely delays in the Digital Services Act timeline - Stakeholders call for push of data, AI consultation deadlines - Crisis could feed into digital policymaking (B-to-G data sharing, AI-only content moderation...) "
39,The EU budget can add value when and where needed the most. We propose to make available another €75 million to repatriate EU citizens and enlarge the rescEU medical stockpile. More→ https://europa.eu/!Dx36Wj #Coronavirus 
40,"The European Commission is working closely with the research community to tackle the #COVID19. 17 research projects, involving 136 teams from across the EU and beyond, have been shortlisted for funding with a budget of €47.5 million."
41,"Tories are spending up to six figures on Lynton Crosby's social media manipulators who fuc**d you over in Dec at General Election. Now you are going to made to believe 15,000-20,000 deaths is a huge Boris the Liar success story by these bastards. https://www.campaignlive.co.uk/article/downing-street-calls-election-gurus-overhaul-coronavirus-comms/1678511?bulletin=campaign_agencies_bulletin"
42,"'British spirit' will not beat coronavirus. A nation that continues to accept the bullshit spouted by the fat spoiled kid who claims to be in charge, and swallows the fictions peddled by risible journalists, needs more than spirit. It needs to think."
43,"South African police enforcing a coronavirus lockdown on Saturday fired rubber bullets towards hundreds of shoppers queueing outside a supermarket in Johannesburg, an AFP photographer said http://u.afp.com/3qS8"
44,"""To support our call on all countries to conduct aggressive case-finding and testing, we’re also working urgently to massively increase the production and capacity for testing around the world""-@DrTedros #COVID19 #coronavirus"
45,The implementation date of outstanding #BaselIII standards has been deferred by one year to provide #banks and supervisors with additional capacity to respond immediately and effectively to the impact of #coronavirus #COVID19 https://bit.ly/2JgcLDP
46,"#BaselCommittee’s oversight body, the Group of Central Bank Governors and Heads of Supervision, has announced Basel III will be deferred by one year to increase the operational capacity of #banks &amp; supervisors to respond to #coronavirus #BaselIII https://www.bis.org/press/p200327.htm"
47,Who would have thought paring the NHS to the bone would negatively affect our capacity to respond to a health crisis? #coronavirus
48,"An ice rink inside a Madrid shopping mall was turned into a temporary morgue to deal with a surge in deaths in the Spanish capital due to the coronavirus, local officials said "
49,"Mind the last mile: Agustín Carstens calls for urgent action to bridge the last mile and get central bank liquidity, via banks, to the businesses that need it most #smallbusiness #SMEs #BankLending #taxes #tradefinance #Covid19 #coronavirus @FT @FTOpinion"
50,Cooperation is much more needed than competition. Solidarity and support from our partners around the world is welcome. Because solidarity and international cooperation are at the heart of our collective success. #EUSolidarity #COVID19 #coronavirus 
51,So many people misinformed about the virus. Governements ask to cancel and avoid mass concentrations of people yet everyone rushes to the supermarkets in close contact with eachother. 🤡 Guys this is not the walking dead. @geant_casino #coronavirus 
52,FACT: Drinking alcohol DOES NOT protect you against #COVID19 and can be dangerous. Frequent or excessive alcohol consumption can increase your risk of health problems. 👉🏽http://bit.ly/COVID19Mythbusters #coronavirus #KnowTheFacts
