,0
0,"I checked just to be sure: over the last few days, @guardian headlines have been about the coronavirus. Very little attention paid to reporting #Windrush deportations. 17 Ppl who have served their prison time. Lived most of their lives in the UK. Labelled “illegal immigrants“."
1,It looks like #coronavirus has open access to #Europe through #Germany. My #grandmother always said: #prevention is better than #cure! #CoronavirusOutbreak
2,I started choking on coffee in class and my professor said “wash your hands. Coronavirus.” Boy leave my trachea alone
3,"“If anything kills over million people in the next few decades, it’s most likely to be a highly infectious virus rather than a war....” “And we are not ready for the next epidemic.” Said @BillGates in 2015 at the TED conference. #CoronaVirus "
4,"🇬🇧 After coronavirus has had the outbreak, many Japanese are drawing a yokai monster, Amabie. The yokai appeared in Kumamoto in the later Edo period and said, ""when a desease outbreaks, copy me and show others"" then disappeared. So I did. #amabie, #yokai, #coronavirus "
5,We Greens will support our colleagues from @RenewEurope . And we need a procedure to decide about money needed for fighting the #coronavirus or to give money to humanitarian aid at the #Greece_Turkey_Borders. #europeanparliament
6,"“If the coronavirus spread inside the camps, they would not help, they would not provide any medical support,” said former teacher in an internment camp Ms. Sauytbay. Since the outbreak, no reports came out on the conditions inside the #camps."
7,"A breathing aid, that can help keep coronavirus patients out of intensive care by delivering oxygen to the lungs without needing a ventilator, has been created in under a week. "
8,That being said... #Covid_19 #Coronakrise #coronavirus 
9,"“All foreigners in Portugal with pending applications will be treated as permanent residents from Monday until at least July 1, authorities said on Saturday, to ensure migrants have access to public services during the #coronavirus outbreak. "
10,Netherlands said the masks didn't meet their 'quality norms'. Netherlands had recently bought 1.3 million masks from China to tackle the coronavirus outbreak. 
11,"German Chancellor Angela Merkel says it’s too early to be talking about easing coronavirus measures in Germany. According to Merkel, the number of people infected currently doubles every four to five days. But that has to thin out to around 10 days, she said. "
12,"„Given the toxicity of the drug, I’m afraid my government is going to kill people.“ Great colleague @cpiller with everything you need to know about the hype surrounding #hydroxychloroquine as a treatment for #covid19."
13,"Here's to the cleaning workers. The coronavirus pandemic has shown how essential it is that our hospitals, workplaces, schools, public transport and streets are cleaned by the workers who are doing one of the most underappreciated and underpaid jobs in the world. "
14,"Here's to the grocery store workers. Despite often being underpaid, these workers are providing families with the supplies they need and are holding communities together during these times of crisis. The #coronavirus pandemic has shown how essential grocery store workers are. "
15,The next in line might be Eastern Europe where testing is well below the EU average practice #Covid_19
16,ECB Supervisory Board Chair Andrea Enria writes in a blog that a contribution is also required from banks and shareholders to fight the economic effects of the coronavirus. The supervisory measures and dividend restrictions help banks support the economy https://www.bankingsupervision.europa.eu/press/blog/2020/html/ssm.blog200327~abd2a8244b.en.html?utm_source=ecb_twitter&amp;utm_medium=social&amp;utm_campaign=200327_blog_AE
17,ECB updates its recommendation: banks should refrain from dividend payments and share buy-backs for at least six months amid the coronavirus pandemic. Capital conserved in this way should be used to support lending to the economy or absorb losses https://www.bankingsupervision.europa.eu/press/pr/date/2020/html/ssm.pr200327~d4d8f81a53.en.html?utm_source=ecb_twitter&amp;utm_medium=social&amp;utm_campaign=200327_pr_dividendrestrictions
18,First tour is done. Today we distributed food to needy people in our town. Since the corona virus outbreak our local food bank is closed until unknown. We joined a local initiative with several organizations bringing food to their clients. Feedback was very positive. pic.twitter.com/N7XpAAPMqZ
19,"In the next weeks we are supporting our neighbors Die Lüdenscheider Tafel, a local food bank, with the distribution of food packages to needy people in our town. The local foodbank has been closed because of the Corona Virus. Distributions starting tomorrow morning. pic.twitter.com/wizYmkrhE6"
20,@PeterEgan6 @brigitte_bardot @AnimalsAsia @moonbearJill #BoycottChina @FBB_Animaux @AnimalsAsiaUK Stop #AnimalCruelty
21,The pope on tax justice and the coronavirus https://uk.reuters.com/article/uk-health-coronavirus-pope/pope-says-italy-tax-dodgers-bear-partial-blame-for-virus-health-care-crisis-idUKKBN215240 more on this soon
