,0
0,Everything we said was done We said for knowing and writing #restart_opposition #MIGA #Sufism_Awakening #ویروس_عرفانی_کرونا
1,We don't ask them for help as long as the American people are suspicious of themselves #islamic_Republic_of_iran #ما_کرونا_را_شکست_میدهیم #کرونا #کرونا_ویروس
2,آیا شما موافق برداشتن #تحریم ها به صورت موقت برای کمک به ایران در راستای مبازه با #ویروس_کرونا هستید؟ Are you agree with lifting sanctions on Iran for a limited time to help Iran to cope with #COVID19 ? #coronavirus #کرونا #COVIDSanctionsLie #COVIDSanctions #ریتوییت #retweet
3,zarif you have a brief grief about sanctions.😁😂👇 #planB #ویروس_عرفانی_کرونا 
4,همه شباهت های فیلم Contagion به #کرونا یه طرف، من فقط عاشق اون تیکش شدم که خبرنگاره و صاحب شرکت داروسازیه شایعه می کنند #یاس_زرد (فورسیتیه) واسه درمان ویروس موثره، شدم. دقیقا قضیه #روغن_بنفشه و جناب کلاه بردار #تبریزیان رو هم به تصویر کشیده بودند.
5,"They are only good to the extent that society allows them. I prove to you that when these famines come, these civilized people will eat each other. #Europe #USA #Absurd_culture #COVID19 #coronavirus #کرونا_ویروس #كرونا "
6,Reposted from who.persian #فوتبال#کووید۱۹#ویروس_کرونا#WHOpersian#COVID19 https://www.instagram.com/p/B-Fjp-GJs81/?igshid=1r3hme5v1gkqh
7,همه شباهت های فیلم Contagion به #کرونا یه طرف، من فقط عاشق اون تیکش شدم که خبرنگاره و صاحب شرکت داروسازیه شایعه می کنند #یاس_زرد (فورسیتیه) واسه درمان ویروس موثره، شدم. دقیقا قضیه #روغن_بنفشه و جناب کلاه بردار #تبریزیان رو هم به تصویر کشیده بودند.
8,"They are only good to the extent that society allows them. I prove to you that when these famines come, these civilized people will eat each other. #Europe #USA #Absurd_culture #COVID19 #coronavirus #کرونا_ویروس #كرونا "
9,Reposted from who.persian #فوتبال#کووید۱۹#ویروس_کرونا#WHOpersian#COVID19 https://www.instagram.com/p/B-Fjp-GJs81/?igshid=1r3hme5v1gkqh
