,0
0,"Because schools are shut down, I’m doing 1-on-1 phone calls with my students. Today, I talked with 12 students in 2 hours 😖 it’s hard, but one of my students said “teacher, 코로나 조심 하세요” (be careful of corona) and I just 😭 I love them so much!"
1,"“My headache was killing me,” 83-yr-old Park recollected on her battle with #Covid19. Initially she had no fever, no cough. She is cured after 2-wk treatment. But she said she prayed to God that she would die bc she felt such deep guilt over the pain 1/"
2,"Almost half of single parents in Korea who took part in the survey said they’re experiencing financial hardship, incl job loss, due to #Covid19."
3,"병원 내 감염 '0'… 백병원 마스크의 기적 http://news.naver.com/main/read.nhn?mode=LSD&amp;mid=sec&amp;sid1=001&amp;oid=023&amp;aid=0003517595 78세 확진자가 나온 백병원. 병원내 환자, 의료진 250명 검사. 그런데 전원 음성 판정. 감염자가 항상 마스크착용, 병상커튼으로 차단. 코로나 감염자가 마스크만 확실히 쓰면 추가 감염을 막을 수 있다는 사례. pic.twitter.com/co49GS4UvT"
4,the moment we need a bullet in the damn fucking head #corona #COVID19 #korea #shincheonji #bitch #crazy #코로나 #신천지 #대구 #확진자 #미친년 pic.twitter.com/zKa4y4nyTh
5,The government is considering taking legal actions against the woman.
6,"병원 내 감염 '0'… 백병원 마스크의 기적 http://news.naver.com/main/read.nhn?mode=LSD&amp;mid=sec&amp;sid1=001&amp;oid=023&amp;aid=0003517595 78세 확진자가 나온 백병원. 병원내 환자, 의료진 250명 검사. 그런데 전원 음성 판정. 감염자가 항상 마스크착용, 병상커튼으로 차단. 코로나 감염자가 마스크만 확실히 쓰면 추가 감염을 막을 수 있다는 사례. pic.twitter.com/co49GS4UvT"
7,"코로나 바이라스 때문에 코로나 맥주도 큰 타격을 입고있다고한다. 한조사기관에 따르면 맥주를 마시는 미국인의 38%가 현재 어떤 상황에서도 코로나를 구매하지 않을 것으로 답변했으며, 16%는 코로나 맥주가 코로나 바이러스와 관련이 있는지에 대해 혼란스러워했다고 🤣 https://www.usatoday.com/story/money/food/2020/02/27/coronavirus-corona-beer-name-association-outbreak-fears/4894784002/"
8,"Almost half of single parents in Korea who took part in the survey said they’re experiencing financial hardship, incl job loss, due to #Covid19."
9,"""24일 부산시 코로나19 일일상황입니다"" 현재 확진환자 누계는 오전 10시 기준 107명, 오늘 추가된 환자는 없습니다. 완치 67명과 사망 1명을 반영한 우리 시 현재 환자는 39명입니다. 어제 확인된 106, 107번 환자의 동선은 우리 시 블로그에서 확인하실 수 있습니다. http://blog.busan.go.kr/221868970211"
10,http://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do 코로나 뚫고 #정직한후보 1위 호호호
11,http://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do 코로나 뚫고 #정직한후보 1위 호호호
