,0
0,"Michael Gove appears to blame China over lack of UK coronavirus testing. Even if what Gove said was true (of course it wasn't!), there's still no excuse for ignoring advice/experience of other countries, &amp; especially of the WHO. "
1,"Spain is not the only country to buy sadly substandard virus equipment from China. But who was the Spanish distributor that acquired deficient test kits - and how much was paid? PM S찼nchez talked about ""a super aggressive market."" How about opaque?"
2,"One month ago, Trump said there were only 15 coronavirus cases in the United States and in a few days it would be zero and that proves he is doing a good job Today, Trump said that if 100,000 people die of coronavirus in the United States that proves he is doing a good job "
3,"FFS! Might as well have said ""We shall fight the coronavirus on the beaches"" "
4,"As coronavirus cases continue to climb in Spain, Prime Minister Pedro S찼nchez said his government will inject ??bn into the health system and transfer a further ??.8bn to regional authorities to help them shore up their healthcare services. "
5,"Weekend trip to the beach is off to a rough start. Good friends with one of the girls, not so much the others. One of the two girls bailed because she?셲 afraid of the corona virus, and one is complaining about everything. ?ㅇ?뤌?띯?截?
629,2020-02-28 21:46:56+00:00,Breakthrough From Israel?셲 MIGAL Research Institute in Development of Corona virus (COVID-19) Vaccine #COVID2019 #coronavirus #migal.research #Migal http://migal.org.il/Migal.covid
630,2020-02-28 21:23:02+00:00,yt girl next to me: ?쐗hat do I have to do to get quarantined here????another yt girl: ?쐉ust lick a metro pole or something??same yt girl: ?쐇?셫 not even scared about the coronavirus"
6,Thanks a lot. Muchas gracias. Empezamos a tener miedo del coronavirus. We start to be afraid about coronavirus.
7,"China said to mull cash injections, mergers to bail out airlines industry crippled by the coronavirus outbreak. Global carriers ?봞bout 80% of their China flights &amp; local airlines grounded enough planes to carry 10.4 mill passengers, reducing China to a smaller ??mkt than PTE "
8,Madrid comes out to Defy Corona Virus &amp; show its appreciation for the healthcare personnel! That?셲 the Spirit!! We shall Overcome!! #UNWTO ??at Halc처n Viajes
9,"Some thoughts from Spain on the Coronavirus. As of last Friday night, virtually the whole country shut down. The only things open are grocery stores, gas stations, some banks, and pharmacies. Am personally surprised how quickly Spaniards adopted to these new restrictions. 1/"
10,Markets trends are being dictated by daily headlines about Coronavirus and its economic and humanitarian impacts. Global central banks are seemingly prepared to act to support their economies. Will they follow the FED? @SantanderAM
11,Anyone else out there working on their Coronavirus/isolation beard? #Coronavirusbeard
12,"The horror of residents found dead in their nursing home beds has added a shocking dimension to Spain's coronavirus crisis. It also exposes ""a bitter black hole"" in a society that has strong generational bonds and values the elderly. https://nyti.ms/2JhfJIc"
13,"The Fate of the News in the Age of the #Coronavirus: Without a viable news media system, democracy is reduced to an unattainable ideal https://www.newyorker.com/news/annals-of-communications/the-fate-of-the-news-in-the-age-of-the-coronavirus?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=the-new-yorker&amp;utm_social-type=earned v챠a @NewYorker"
14,Another interesting opportunity to learn about #brand management in the #coronavirus crisis. @Orioliglesias will be talking on this topic during the open #webinar next Tuesday 31st. Join it here: https://sforce.co/3aoOw26 #branding #marketing #covid19 #communication pic.twitter.com/UpmHimGdSB
15,Re. that Corona Beer/Coronavirus story: I knew it had a whiff of bullshit about it. Worth sharing. https://skepchick.org/2020/02/no-38-of-americans-arent-confusing-the-coronavirus-with-corona-beer/
16,"All, we are looking for potential sources of medical equipment we can bring to Spain from anywhere or people with the capacity to manufacture it (ventilators, masks, tests...). Anyone with any lead please message me. #CoronavirusESP #coronavirus"
17,Madrid?셲 spiking Coronavirus numbers are being traced back to the stupid Women?셲 March held two Sundays ago https://english.elpais.com/society/2020-03-20/spanish-doctors-prepare-to-make-difficult-decisions-if-intensive-care-units-reach-capacity.html
18,We will surely see plenty of disaster capitalism given the coronavirus mayhem ??but we can?셳 take our eyes off the ball on trans rights. Disaster anti-trans legislating must be stopped. #VetoHB500
19,Visualizing the History of Pandemics https://www.visualcapitalist.com/history-of-pandemics-deadliest/ #History #Archaeology #bioarchaeology #COVID??9 #coronavirus ??at Playa de la Goleta
20,"Estar찼n on fire los dos ""humoristas"" oficiales de la capital de Castilla con la noticia del posible coronavirus en el puticlub... ?삦 No los sigo porque m찼s que gracia, sufro de verg체enza ajena con cada ""gag"" suyo"
21,We will surely see plenty of disaster capitalism given the coronavirus mayhem ??but we can?셳 take our eyes off the ball on trans rights. Disaster anti-trans legislating must be stopped. #VetoHB500
22,Markets trends are being dictated by daily headlines about Coronavirus and its economic and humanitarian impacts. Global central banks are seemingly prepared to act to support their economies. Will they follow the FED? @SantanderAM
23,Great casserole against the social communism and the government of Pedro Sanchez and his vice-president @PabloIglesias for the inefficient management of the coronavirus crisis #PodemosPandemia #madridencuarentena
24,The past and coming weeks will lead us to think about our way of consumption. Will we finally commit to peacefully coexisting with nature? #letswintogether
25,China just banned the trade and consumption of wild animals. Experts think the coronavirus jumped from live animals to people at a market. https://www.businessinsider.com/china-bans-wildlife-trade-consumption-coronavirus-2020-2?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider
26,"Most people don't know what type of mask they are wearing if it is FFP1, FFP2 and FFP3. The most common masks do not prevent contagion by coronavirus, while that of level 2 can protect you against contagion (92%), of course the most effective is level 3 (98%) "
27,Maxine Waters outlines the next Coronavirus stimulus: ??Help for renters ??Help for landlords ??Help with gasoline ??Help for credit cards ??Help for your credit score ??Help for concessionaires ??Help for minorities ??Help for caterers 
28,"@incawarrior @VanessaBeeley @turnermx @GeorgeSzamuely @BlueDot2018 @LieBusterSleuth @catoletters Trump just wants to enhance his chances for reelection. Beware Trump 'cos a combination of US's huge wordwide debt, Stock Market &amp; Coronavirus are vying for your political demise."
29,Retailers launch big hiring sprees as coronavirus spurs demand via @FT #somegoodnews #covid19
30,"Powerful and somewhat surreal photos (and timelapse video) here of IFEMA, Madrid's big trade fair/event venue, being prepared to cope with coronavirus demand. It could eventually host 5000 extra hospital beds. "
31,Santander creates a ??5 million fund to provide medical equipment and supplies to help limit the spread of the coronavirus. @AnaBotin and Jos챕 Antonio Alvarez to reduce their compensation by 50% The board will review the dividend against 2020 earnings.
32,"Spanish Cabinet greenlights stricter lockdown conditions, ?쁥ibernating??the economy in a bid to avoid hospitals becoming overwhelmed with coronavirus patients "
33,"Could China please learn from this? The way of life in of some people in Wuhan has killed 1000s, killed the global economy & has 1/3 of the global population in lockdown. Look forward to their apology to us all and compensation #responsibility #China"
34,"?쏷he double whammy of the coronavirus pandemic and the collapse in oil prices have managed to create in two short weeks what a concerted American sanctions campaign could not achieve, which is a potential knockout blow to the Venezuelan legal economy??"
35,"https://uk.finance.yahoo.com/news/bcc-coronavirus-predicted-to-further-weaken-uk-economic-growth-in-tandem-with-brexit-060006679.html Coronavirus or Brexit alone would be damaging to UK economy, but add them together ........."
36,African politicians blaming Coronavirus re why the economies the countries they manage will be in shambles post the pandemic. Are telling a half truth and should start by owing the fact they too are the virus that has most African nations in economic disarray...
37,Markets trends are being dictated by daily headlines about Coronavirus and its economic and humanitarian impacts. Global central banks are seemingly prepared to act to support their economies. Will they follow the FED? @SantanderAM
38,Number 10 warned against exiting EU pandemic warning system in wake of coronavirus https://www.theneweuropean.co.uk/top-stories/early-warning-and-response-system-after-brexit-1-6540034?utm_source=Twitter&amp;utm_medium=Social_Icon&amp;utm_campaign=in_article_social_icons Seems like Johnson won't accept anything with the word European in it. Surprised to find Doormat Hancock disagreeing with him on this. He'll need to watch his back.
39,Juventus among other top European clubs are thinking of signing Marcelo this summer. Juventus officials were expected to meet with Marcelo in Madrid before the coronavirus outbreak put a stop to that. [@Marca]
40,The human costs of a possible pandemic go well beyond public health. They are social and economic ??and a product of human psychology. The Cognitive Bias That Makes Us Panic About Coronavirus 
41,"The enormous differences between Covid-19 fatality rates in different countries raise questions about how countries are tracking their own coronavirus outbreaks, with epidemiology experts warning that governments aren?셳 counting deaths properly "
42,"The Spanish government announced on Saturday the halt of all non-essential activities in a bid to slow the spread of the coronavirus. Here is a list of questions and answers about the new rules, which will go into effect from today "
43,BBC News - SNP urges UK government to 'hit pause' on Brexit due to coronavirus https://www.bbc.co.uk/news/uk-scotland-scotland-politics-52079106 There can be absolutely no justification for proceeding with Brexit during the current coronavirus crisis.
44,"BREAKING: As coronavirus deaths continue to rise on a daily basis in Spain, Prime Minister S찼nchez announced on Saturday that the lockdown will be tightened, with all non-essential workers confined to their homes for the next two weeks https://english.elpais.com/politics/2020-03-28/spanish-government-tightens-lockdown-to-include-all-non-essential-workers.html?utm_medium=Social&amp;utm_source=Twitter&amp;ssm=TW_CM_EN#Echobox=1585426975"
45,Boris Johnson's government is reportedly furious with China and believes it could have 40 times more coronavirus cases than it claims https://www.businessinsider.com/coronavirus-boris-johnsons-government-reportedly-furious-with-china-2020-3?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter v챠a @businessinsider
46,"And I think that the government hide us the worst face of #Covid_19 #coronavirus BR from Madrid, Spain"
