,0
0,"People stuck at home during the pandemic are streaming more videos, but uncertainty in the ad market is making it hard for publishers to capitalize on the higher viewership with more ad revenue https://www.wsj.com/articles/coronavirus-quarantine-boosts-streaming-video-but-not-advertising-yet-11585215004 via @WSJ"
1,"and then I had to read, that stock markets are not doing hat well anymore, since more and more are afraid of the things Coronavirus will be doing to the country and the rest of the world ... #FlatBrainDonaldTrump #FlatBrainTrump #TrumpIsAPityRag"
2,"#PakistanPost has started delivering pensions to 1.5 million people at their doorstep to protect them from #coronavirus by ensuring social distancing &amp; staying-at-home. In 3 days PKR 3.1 bn were paid out to 200,000 pensioners. @ImranKhanPTI @PakistanPMDU @PakPostOffice #COVID19"
3,Jackie Appiah Sharply Disagrees With Shatta Wale; Says She Does Not Need To Be Paid To Educate People On Coronavirus https://www.micafoakwa.com/2020/03/jackie-appiah-sharply-disagrees-with.html?spref=tw
4,From todays press conference: Banks agreed to have 0% interest in loans for companies. Loans can be paid back within 5-7 years. Companies have to be able to proof that their need for a loan is due to coronavirus. #CoronaInfoCH
5,Coronavirus: All National Service Personnel Asked To Take Mandatory Paid Leave. https://www.micafoakwa.com/2020/03/coronavirus-all-national-service.html?spref=tw
6,"🔴🆘 #IRAN: Outrage over regime’s failure to release any #Ahwazi women prisoners, as #coronavirus fears worsen https://wp.me/pbdYXj-1sA @AmnestyIran @amnestyusa @kuminaidoo @amnesty_de @AmnestyAustria @IranHrm #AyatollahsSpreadCOVID19"
7,"Mind the last mile: Agustín Carstens calls for urgent action to bridge the last mile and get central bank liquidity, via banks, to the businesses that need it most #smallbusiness #SMEs #BankLending #taxes #tradefinance #Covid19 #coronavirus @FT @FTOpinion"
8,The implementation date of outstanding #BaselIII standards has been deferred by one year to provide #banks and supervisors with additional capacity to respond immediately and effectively to the impact of #coronavirus #COVID19 https://bit.ly/2JgcLDP
9,"#BaselCommittee’s oversight body, the Group of Central Bank Governors and Heads of Supervision, has announced Basel III will be deferred by one year to increase the operational capacity of #banks &amp; supervisors to respond to #coronavirus #BaselIII https://www.bis.org/press/p200327.htm"
10,"Nurses ""have been asked to consider shaving their beards off to ensure they are properly protected by masks, in the event of the coronavirus outbreak."" "
11,The depression was around the corner anyway. Y‘know there was never record high gdp without there being a bubble waiting to burst. Coronavirus was just the the thing that made the needle go in. Just stay home so your shitty health infrastructure can take care of all the sick
12,"We don’t have a financial crisis in which a bubble collapses, but a real crisis. From a long term perspective, a real crisis leads to new investment and economic growth. Hence, #coronavirus could also have a positive effect in the long run."
13,The implementation date of outstanding #BaselIII standards has been deferred by one year to provide #banks and supervisors with additional capacity to respond immediately and effectively to the impact of #coronavirus #COVID19 https://bit.ly/2JgcLDP
14,"#BaselCommittee’s oversight body, the Group of Central Bank Governors and Heads of Supervision, has announced Basel III will be deferred by one year to increase the operational capacity of #banks &amp; supervisors to respond to #coronavirus #BaselIII https://www.bis.org/press/p200327.htm"
15,"People stuck at home during the pandemic are streaming more videos, but uncertainty in the ad market is making it hard for publishers to capitalize on the higher viewership with more ad revenue https://www.wsj.com/articles/coronavirus-quarantine-boosts-streaming-video-but-not-advertising-yet-11585215004 via @WSJ"
