ObservationDate,Country.Region,Confirmed,Deaths,Recovered,
2/28/20, Azerbaijan,1,0,0,
3/10/20,('St. Martin'),2,0,0,
2/24/20,Afghanistan,1,0,0,
2/25/20,Afghanistan,1,0,0,
2/26/20,Afghanistan,1,0,0,
2/27/20,Afghanistan,1,0,0,
2/28/20,Afghanistan,1,0,0,
2/29/20,Afghanistan,1,0,0,
3/1/20,Afghanistan,1,0,0,
3/2/20,Afghanistan,1,0,0,
3/3/20,Afghanistan,1,0,0,
3/4/20,Afghanistan,1,0,0,
3/5/20,Afghanistan,1,0,0,
3/6/20,Afghanistan,1,0,0,
3/7/20,Afghanistan,1,0,0,
3/8/20,Afghanistan,4,0,0,
3/9/20,Afghanistan,4,0,0,
3/10/20,Afghanistan,5,0,0,
3/11/20,Afghanistan,7,0,0,
3/12/20,Afghanistan,7,0,0,
3/13/20,Afghanistan,7,0,0,
3/14/20,Afghanistan,11,0,0,
3/15/20,Afghanistan,16,0,0,
3/16/20,Afghanistan,21,0,1,
3/17/20,Afghanistan,22,0,1,
3/18/20,Afghanistan,22,0,1,
3/19/20,Afghanistan,22,0,1,
3/20/20,Afghanistan,24,0,1,
3/21/20,Afghanistan,24,0,1,
3/22/20,Afghanistan,40,1,1,
3/23/20,Afghanistan,40,1,1,
3/24/20,Afghanistan,74,1,1,
3/25/20,Afghanistan,84,2,2,
3/26/20,Afghanistan,94,4,2,
3/27/20,Afghanistan,110,4,2,
3/28/20,Afghanistan,110,4,2,
3/29/20,Afghanistan,120,4,2,
3/30/20,Afghanistan,170,4,2,
3/31/20,Afghanistan,174,4,5,
4/1/20,Afghanistan,237,4,5,
4/2/20,Afghanistan,273,6,10,
4/3/20,Afghanistan,281,6,10,
4/4/20,Afghanistan,299,7,10,
4/5/20,Afghanistan,349,7,15,
4/6/20,Afghanistan,367,11,18,
4/7/20,Afghanistan,423,14,18,
4/8/20,Afghanistan,444,14,29,
4/9/20,Afghanistan,484,15,32,
4/10/20,Afghanistan,521,15,32,
4/11/20,Afghanistan,555,18,32,
4/12/20,Afghanistan,607,18,32,
4/13/20,Afghanistan,665,21,32,
4/14/20,Afghanistan,714,23,40,
4/15/20,Afghanistan,784,25,43,
4/16/20,Afghanistan,840,30,54,
4/17/20,Afghanistan,906,30,99,
4/18/20,Afghanistan,933,30,112,
4/19/20,Afghanistan,996,33,131,
4/20/20,Afghanistan,1026,36,135,
4/21/20,Afghanistan,1092,36,150,
3/9/20,Albania,2,0,0,
3/10/20,Albania,10,0,0,
3/11/20,Albania,12,1,0,
3/12/20,Albania,23,1,0,
3/13/20,Albania,33,1,0,
3/14/20,Albania,38,1,0,
3/15/20,Albania,42,1,0,
3/16/20,Albania,51,1,0,
3/17/20,Albania,55,1,0,
3/18/20,Albania,59,2,0,
3/19/20,Albania,64,2,0,
3/20/20,Albania,70,2,0,
3/21/20,Albania,76,2,2,
3/22/20,Albania,89,2,2,
3/23/20,Albania,104,4,2,
3/24/20,Albania,123,5,10,
3/25/20,Albania,146,5,17,
3/26/20,Albania,174,6,17,
3/27/20,Albania,186,8,31,
3/28/20,Albania,197,10,31,
3/29/20,Albania,212,10,33,
3/30/20,Albania,223,11,44,
3/31/20,Albania,243,15,52,
4/1/20,Albania,259,15,67,
4/2/20,Albania,277,16,76,
4/3/20,Albania,304,17,89,
4/4/20,Albania,333,20,99,
4/5/20,Albania,361,20,104,
4/6/20,Albania,377,21,116,
4/7/20,Albania,383,22,131,
4/8/20,Albania,400,22,154,
4/9/20,Albania,409,23,165,
4/10/20,Albania,416,23,182,
4/11/20,Albania,433,23,197,
4/12/20,Albania,446,23,217,
4/13/20,Albania,467,23,232,
4/14/20,Albania,475,24,248,
4/15/20,Albania,494,25,251,
4/16/20,Albania,518,26,277,
4/17/20,Albania,539,26,283,
4/18/20,Albania,548,26,302,
4/19/20,Albania,562,26,314,
4/20/20,Albania,584,26,327,
4/21/20,Albania,609,26,345,
2/25/20,Algeria,1,0,0,
2/26/20,Algeria,1,0,0,
2/27/20,Algeria,1,0,0,
2/28/20,Algeria,1,0,0,
2/29/20,Algeria,1,0,0,
3/1/20,Algeria,1,0,0,
3/2/20,Algeria,3,0,0,
3/3/20,Algeria,5,0,0,
3/4/20,Algeria,12,0,0,
3/5/20,Algeria,12,0,0,
3/6/20,Algeria,17,0,0,
3/7/20,Algeria,17,0,0,
3/8/20,Algeria,19,0,0,
3/9/20,Algeria,20,0,0,
3/10/20,Algeria,20,0,0,
3/11/20,Algeria,20,0,0,
3/12/20,Algeria,24,1,8,
3/13/20,Algeria,26,2,8,
3/14/20,Algeria,37,3,12,
3/15/20,Algeria,48,4,12,
3/16/20,Algeria,54,4,12,
3/17/20,Algeria,60,4,12,
3/18/20,Algeria,74,7,12,
3/19/20,Algeria,87,9,32,
3/20/20,Algeria,90,11,32,
3/21/20,Algeria,139,15,32,
3/22/20,Algeria,201,17,65,
3/23/20,Algeria,230,17,65,
3/24/20,Algeria,264,19,24,
3/25/20,Algeria,302,21,65,
3/26/20,Algeria,367,25,29,
3/27/20,Algeria,409,26,29,
3/28/20,Algeria,454,29,31,
3/29/20,Algeria,511,31,31,
3/30/20,Algeria,584,35,37,
3/31/20,Algeria,716,44,46,
4/1/20,Algeria,847,58,61,
4/2/20,Algeria,986,86,61,
4/3/20,Algeria,1171,105,62,
4/4/20,Algeria,1251,130,90,
4/5/20,Algeria,1320,152,90,
4/6/20,Algeria,1423,173,90,
4/7/20,Algeria,1468,193,113,
4/8/20,Algeria,1572,205,237,
4/9/20,Algeria,1666,235,347,
4/10/20,Algeria,1761,256,405,
4/11/20,Algeria,1825,275,460,
4/12/20,Algeria,1914,293,591,
4/13/20,Algeria,1983,313,601,
4/14/20,Algeria,2070,326,691,
4/15/20,Algeria,2160,336,708,
4/16/20,Algeria,2268,348,783,
4/17/20,Algeria,2418,364,846,
4/18/20,Algeria,2534,367,894,
4/19/20,Algeria,2629,375,1047,
4/20/20,Algeria,2718,384,1099,
4/21/20,Algeria,2811,392,1152,
3/2/20,Andorra,1,0,0,
3/3/20,Andorra,1,0,0,
3/4/20,Andorra,1,0,0,
3/5/20,Andorra,1,0,0,
3/6/20,Andorra,1,0,0,
3/7/20,Andorra,1,0,0,
3/8/20,Andorra,1,0,0,
3/9/20,Andorra,1,0,0,
3/10/20,Andorra,1,0,0,
3/11/20,Andorra,1,0,0,
3/12/20,Andorra,1,0,1,
3/13/20,Andorra,1,0,0,
3/14/20,Andorra,1,0,1,
3/15/20,Andorra,1,0,1,
3/16/20,Andorra,2,0,1,
3/17/20,Andorra,39,0,1,
3/18/20,Andorra,39,0,1,
3/19/20,Andorra,53,0,1,
3/20/20,Andorra,75,0,1,
3/21/20,Andorra,88,0,1,
3/22/20,Andorra,113,1,1,
3/23/20,Andorra,133,1,1,
3/24/20,Andorra,164,1,1,
3/25/20,Andorra,188,1,1,
3/26/20,Andorra,224,3,1,
3/27/20,Andorra,267,3,1,
3/28/20,Andorra,308,3,1,
3/29/20,Andorra,334,6,1,
3/30/20,Andorra,370,8,10,
3/31/20,Andorra,376,12,10,
4/1/20,Andorra,390,14,10,
4/2/20,Andorra,428,15,10,
4/3/20,Andorra,439,16,16,
4/4/20,Andorra,466,17,21,
4/5/20,Andorra,501,18,26,
4/6/20,Andorra,525,21,31,
4/7/20,Andorra,545,22,39,
4/8/20,Andorra,564,23,52,
4/9/20,Andorra,583,25,58,
4/10/20,Andorra,601,26,71,
4/11/20,Andorra,601,26,71,
4/12/20,Andorra,638,29,128,
4/13/20,Andorra,646,29,128,
4/14/20,Andorra,659,31,128,
4/15/20,Andorra,673,33,169,
4/16/20,Andorra,673,33,169,
4/17/20,Andorra,696,35,191,
4/18/20,Andorra,704,35,205,
4/19/20,Andorra,713,36,235,
4/20/20,Andorra,717,37,248,
4/21/20,Andorra,717,37,282,
3/20/20,Angola,1,0,0,
3/21/20,Angola,2,0,0,
3/22/20,Angola,2,0,0,
3/23/20,Angola,3,0,0,
3/24/20,Angola,3,0,0,
3/25/20,Angola,3,0,0,
3/26/20,Angola,4,0,0,
3/27/20,Angola,4,0,0,
3/28/20,Angola,5,0,0,
3/29/20,Angola,7,2,0,
3/30/20,Angola,7,2,0,
3/31/20,Angola,7,2,1,
4/1/20,Angola,8,2,1,
4/2/20,Angola,8,2,1,
4/3/20,Angola,8,2,1,
4/4/20,Angola,10,2,2,
4/5/20,Angola,14,2,2,
4/6/20,Angola,16,2,2,
4/7/20,Angola,17,2,2,
4/8/20,Angola,19,2,2,
4/9/20,Angola,19,2,2,
4/10/20,Angola,19,2,2,
4/11/20,Angola,19,2,4,
4/12/20,Angola,19,2,4,
4/13/20,Angola,19,2,4,
4/14/20,Angola,19,2,5,
4/15/20,Angola,19,2,5,
4/16/20,Angola,19,2,5,
4/17/20,Angola,19,2,5,
4/18/20,Angola,24,2,6,
4/19/20,Angola,24,2,6,
4/20/20,Angola,24,2,6,
4/21/20,Angola,24,2,6,
3/13/20,Antigua and Barbuda,1,0,0,
3/14/20,Antigua and Barbuda,1,0,0,
3/15/20,Antigua and Barbuda,1,0,0,
3/16/20,Antigua and Barbuda,1,0,0,
3/17/20,Antigua and Barbuda,1,0,0,
3/18/20,Antigua and Barbuda,1,0,0,
3/19/20,Antigua and Barbuda,1,0,0,
3/20/20,Antigua and Barbuda,1,0,0,
3/21/20,Antigua and Barbuda,1,0,0,
3/22/20,Antigua and Barbuda,1,0,0,
3/23/20,Antigua and Barbuda,3,0,0,
3/24/20,Antigua and Barbuda,3,0,0,
3/25/20,Antigua and Barbuda,3,0,0,
3/26/20,Antigua and Barbuda,7,0,0,
3/27/20,Antigua and Barbuda,7,0,0,
3/28/20,Antigua and Barbuda,7,0,0,
3/29/20,Antigua and Barbuda,7,0,0,
3/30/20,Antigua and Barbuda,7,0,0,
3/31/20,Antigua and Barbuda,7,0,0,
4/1/20,Antigua and Barbuda,7,0,0,
4/2/20,Antigua and Barbuda,9,0,0,
4/3/20,Antigua and Barbuda,15,0,0,
4/4/20,Antigua and Barbuda,15,0,0,
4/5/20,Antigua and Barbuda,15,0,0,
4/6/20,Antigua and Barbuda,15,0,0,
4/7/20,Antigua and Barbuda,19,1,0,
4/8/20,Antigua and Barbuda,19,2,0,
4/9/20,Antigua and Barbuda,19,2,0,
4/10/20,Antigua and Barbuda,19,2,0,
4/11/20,Antigua and Barbuda,21,2,0,
4/12/20,Antigua and Barbuda,21,2,0,
4/13/20,Antigua and Barbuda,23,2,0,
4/14/20,Antigua and Barbuda,23,2,3,
4/15/20,Antigua and Barbuda,23,2,3,
4/16/20,Antigua and Barbuda,23,3,3,
4/17/20,Antigua and Barbuda,23,3,3,
4/18/20,Antigua and Barbuda,23,3,3,
4/19/20,Antigua and Barbuda,23,3,3,
4/20/20,Antigua and Barbuda,23,3,3,
4/21/20,Antigua and Barbuda,23,3,7,
3/3/20,Argentina,1,0,0,
3/4/20,Argentina,1,0,0,
3/5/20,Argentina,1,0,0,
3/6/20,Argentina,2,0,0,
3/7/20,Argentina,8,0,0,
3/8/20,Argentina,12,1,0,
3/9/20,Argentina,12,1,0,
3/10/20,Argentina,17,1,0,
3/11/20,Argentina,19,1,0,
3/12/20,Argentina,19,1,0,
3/13/20,Argentina,31,2,0,
3/14/20,Argentina,34,2,1,
3/15/20,Argentina,45,2,1,
3/16/20,Argentina,56,2,1,
3/17/20,Argentina,68,2,3,
3/18/20,Argentina,79,2,3,
3/19/20,Argentina,97,3,3,
3/20/20,Argentina,128,3,3,
3/21/20,Argentina,158,4,3,
3/22/20,Argentina,266,4,27,
3/23/20,Argentina,266,4,27,
3/24/20,Argentina,387,6,52,
3/25/20,Argentina,387,8,52,
3/26/20,Argentina,502,9,63,
3/27/20,Argentina,589,13,72,
3/28/20,Argentina,690,18,72,
3/29/20,Argentina,745,19,72,
3/30/20,Argentina,820,23,228,
3/31/20,Argentina,1054,27,240,
4/1/20,Argentina,1054,28,248,
4/2/20,Argentina,1133,36,256,
4/3/20,Argentina,1265,39,266,
4/4/20,Argentina,1451,43,279,
4/5/20,Argentina,1451,44,280,
4/6/20,Argentina,1554,48,325,
4/7/20,Argentina,1628,56,338,
4/8/20,Argentina,1715,63,358,
4/9/20,Argentina,1795,72,365,
4/10/20,Argentina,1975,82,375,
