date,contain_econ,Confirmed,Deaths,Recovered
2020-01-30,17,8142,171,135
2020-01-31,6,9814,213,214
2020-02-01,2,11910,259,275
2020-02-02,1,16651,361,463
2020-02-03,1,19742,425,614
2020-02-04,3,23730,490,843
2020-02-05,2,27463,562,1115
2020-02-06,1,30611,632,1476
2020-02-07,0,34137,717,1999
2020-02-08,1,36845,804,2596
2020-02-09,0,39860,904,3224
2020-02-11,2,44408,1111,4641
2020-02-12,6,44781,1116,5092
2020-02-13,6,59916,1368,6227
2020-02-14,1,66376,1520,7987
2020-02-15,1,68432,1663,9314
2020-02-16,1,70532,1766,10775
2020-02-17,0,72451,1864,12483
2020-02-18,1,74227,2003,14240
2020-02-19,2,74636,2117,15993
2020-02-20,3,75165,2240,18047
2020-02-21,2,75788,2244,18742
2020-02-22,3,77519,2451,22737
2020-02-23,6,77812,2461,23223
2020-02-24,8,78371,2621,25042
2020-02-25,6,79158,2700,27714
2020-02-26,4,80049,2760,30169
2020-02-27,10,81346,2802,33057
2020-02-28,9,82664,2858,36476
2020-02-29,6,84457,2926,39520
2020-03-01,6,86717,2978,42451
2020-03-02,8,88551,3067,45325
2020-03-03,21,90969,3141,47933
2020-03-04,8,93000,3232,50873
2020-03-05,12,95449,3326,53483
2020-03-06,8,98927,3436,55509
2020-03-07,7,102538,3533,57960
2020-03-08,5,105940,3769,60283
2020-03-09,18,109304,3950,62062
2020-03-10,9,113229,4219,63899
2020-03-11,8,118863,4552,66112
2020-03-12,34,120612,4649,67416
2020-03-13,59,134497,5307,69303
2020-03-14,26,143483,5696,71617
2020-03-15,18,152644,6296,74971
2020-03-16,48,164321,6961,76943
2020-03-17,51,176648,7694,79618
2020-03-18,195,191138,8451,81993
2020-03-19,607,213578,9521,83542
2020-03-20,396,237593,10844,85892
2020-03-21,280,263031,12375,89619
2020-03-22,220,286680,13863,95533
2020-03-23,372,320556,15574,97969
