date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 21:00:11,IlonaKickbusch,,0,5,6,"United States could become #coronavirus epicenter: @WHO",,@WHO,#coronavirus,1242556841202253830,https://twitter.com/IlonaKickbusch/status/1242556841202253830
2020-03-24 17:48:57,ignaziocassis,antonioguterres,2,23,79,"Switzerland supports the appeal for a global ceasefire: We must stand together more than ever and protect the most vulnerable #COVID19 #coronavirus ",,,#COVID19 #coronavirus,1242508719054893057,https://twitter.com/ignaziocassis/status/1242508719054893057
2020-03-24 15:39:00,AdeccoGroup,,0,8,13," #Covid19: Our 10 top tips on how to manage teams remotely https://www.adeccogroup.com/futuhreinsight/10-top-tips-for-leading-remote-teams/ #TuesdayThoughts #coronavirus",,,#Covid19 #TuesdayThoughts #coronavirus,1242476012849500160,https://twitter.com/AdeccoGroup/status/1242476012849500160
2020-03-24 13:14:19,SpinozaPak,,1,37,54,"In nutshell, Pakistani journalists lack professionalism and know nothing about precessional ethics. They’re the most illiterate people in this country. These BA pass duffers should go back to schools to unlearn certain things and develop into sound professionals. #CoronaVirus",,,#CoronaVirus,1242439603988111360,https://twitter.com/SpinozaPak/status/1242439603988111360
2020-03-24 09:31:38,acemaxx,,0,8,3,"Eurozone is sinking into the biggest economic crisis in its history as measures to contain #coronavirus pandemic bring much of the business world to a standstill, chart @business https://bloom.bg/3adLFsE",,@business,#coronavirus,1242383562323701760,https://twitter.com/acemaxx/status/1242383562323701760
2020-03-24 07:33:59,louisgil77,,0,0,2,"make the best of every situation #coronavirus #stayhome #FlattenTheCurve",,,#coronavirus #stayhome #FlattenTheCurve,1242353955990110209,https://twitter.com/louisgil77/status/1242353955990110209
2020-03-23 17:01:32,Roche,,10,35,87,"Preventing further spread of the #CoronaVirus outbreak requires a massive global effort. Every one of us has a critical role to play to help respond to #COVID19 #StrongerTogether #Coronavid19",,,#CoronaVirus #COVID19 #StrongerTogether #Coronavid19,1242134396284657665,https://twitter.com/Roche/status/1242134396284657665
2020-03-23 09:04:43,StephaniaBecker,,10,12,19,"India is a recipe for #coronavirus disaster: #1 in global tuberculosis burden #1 poorest national sanitation #2 most populous nation #3 in total numbers of HIV infections globally Is it going to be #1 for #covid19 deaths? Is Modi's government prepared for the tide of death?",,,#coronavirus #covid19,1242014400288088065,https://twitter.com/StephaniaBecker/status/1242014400288088065
2020-03-22 13:13:44,free_elfCH,,5,3,48,"So I was tested positive for coronavirus a few days ago but I'm much better now. Had a horrible headache. Luckily I've been isolated for a while now. #StayAtHome #COVIDー19 #coronavirus",,,#StayAtHome #COVID #coronavirus,1241714681020104705,https://twitter.com/free_elfCH/status/1241714681020104705
2020-03-22 10:56:07,DrPascalMeier,,12,195,265,"Dear young & healthy Watch what #CoronaVirus can do to your lungs! This is not just about the #COVID19 death risk, but potential severe permanent lung damage &amp; trouble breathing #StayHome #SocialDistancing https://news.sky.com/story/coronavirus-italian-doctors-warn-covid-19-can-make-young-people-seriously-ill-11961000",,,#CoronaVirus #COVID19 #StayHome #SocialDistancing,1241680050128392193,https://twitter.com/DrPascalMeier/status/1241680050128392193
2020-03-21 15:35:21,uncle_dallas,,0,9,9,"from dev to dev... #devlife #Coronavirus #forzalombardia",,,#devlife #Coronavirus #forzalombardia,1241387930016456709,https://twitter.com/uncle_dallas/status/1241387930016456709
2020-03-21 13:13:39,MSD_Switzerland,,0,4,8,"In these difficult times, doctors and HCPs are taking on even more risks than usual and are doing extraordinary things for our society around the world. They deserve our heartfelt gratitude and support! #covid19 #coronavirus #wereinthistogether #flattenthecurve",,,#covid19 #coronavirus #wereinthistogether #flattenthecurve,1241352274011717632,https://twitter.com/MSD_Switzerland/status/1241352274011717632
2020-03-21 11:18:30,andymeetswarhol,,1,0,3,"Where should I travel to? Any ideas, friends? #weekend #coronavirus ",,,#weekend #coronavirus,1241323292415463424,https://twitter.com/andymeetswarhol/status/1241323292415463424
2020-03-21 09:08:58,Syngenta,,2,19,39,"The spread of #coronavirus is impacting communities around the world, affecting our employees, suppliers, customers &amp; their families. A letter from our CEO Erik Fyrwald on how we’re united as a company to support the health of our employees &amp; our business: https://www.syngenta.com/company/media/coronavirus-ceo-letter",,,#coronavirus,1241290693403951104,https://twitter.com/Syngenta/status/1241290693403951104
2020-03-20 14:35:06,SwissMFA,,1,8,10,"#CoronaInfoCH : The FDFA Helpline works 24 hours a day #coronavirus ",,,#CoronaInfoCH #coronavirus,1241010380824027139,https://twitter.com/SwissMFA/status/1241010380824027139
