,Text
0,"À l’étranger ils désinfectent tous les lieux public, en France on fait rien nada! #coronavirus @gouvernementFR @AssembleeNat"
1,"#coronavirus #NousNOublieronsPas Justice express et punitive pour les citoyens devenus des riens.. Et Pour le Gvt, dans 10 ans? un homme écroué après avoir été verbalisé à huit reprises pour ne pas avoir respecté les règles du confinement https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-un-homme-ecroue-apres-avoir-ete-verbalise-a-huit-reprises-pour-ne-pas-avoir-respecte-les-regles-du-confinement_3883277.html via @franceinfo"
2,Épidémie du Coronavirus – les vraies questions que soulève la crise mondiale. https://osmosexdiamants.wordpress.com/2020/03/24/epidemie-du-coronavirus-les-vraies-questions-que-souleve-la-crise-mondiale/
3,Please do your bit for this vital #Coronavirus URGENT RESEARCH Anyone 12+ can use this app • Self-report daily • Help slow the outbreak • Identify those at risk sooner A joint emergency research project between @GSTTresearch @KingsCollegeLon @NIHRresearch @wellcometrust
4,Le coronavirus : https://twitter.com/_m_hnt_/status/1242043853156290564
5,"Coronavirus Covid-19 : A Thise, où 15 résidents de l’Ehpad sont morts, le maire durcit le confinement - France 3 Régions "
6,#Coronavirus COVID 19. Chronique de ma bibliothèque : Dictionnaire historique de Lyon https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/rhone/lyon/coronavirus-chronique-ma-bibliotheque-dictionnaire-historique-lyon-1805448.html
7,"Spotlight on #Virology 🧬🤢 Exploring the molecular, cellular and structural biology of #viruses 🧪 Led by Akio Adachi: https://fro.ntiers.in/ferg Check out this article on recent developments in #coronavirus #research 🔬🧫 : https://fro.ntiers.in/d1cD"
8,"CORONAVIRUS (VIRUS À COURONNE EN LATIN) EST LE NOM D’UN GENRE DE VIRUS ! LE VRAI NOM DU VIRUS ACTUEL EST ""COVID-19"" DONC ARRÊTEZ DE CROIRE AU COMPLOT DE CET IDIOT LE MOT CORONAVIRUS EST UTILISÉ DEPUIS DES ANNÉES PAR LES SCIENTIFIQUES POUR DÉSIGNER UN TYPE DE VIRUS BIEN PRÉCIS "
9,Ouais sauf que le coronavirus existe depuis longtemps. Le coronavirus c’est une famille de virus. Et en 2002/2003 il y’a eu le SARS-CoV-2 qui avait des syndromes similaires au CoVid-19. 
10,"""le coronavirus chinois"", ça commence bien."
11,Le #COVIDー19 bientôt rebaptisé #CovidTrump ? #Coronavirus 
12,Le #coronavirus a choisi essentiellement les pays vieillissants.... 
13,Coronavirus is a lesson to us all...secure ALL borders!!! PERIOD!!
14,Coronavirus etc c’est des trucs snap avec dix fautes par lignes
15,"#Coronavirus : attention aux #arnaques en tout genre, #masques, #médicaments, #désinfection d’appartement - France 3 Grand Est"
16,"„Wenn der Wissenschaft die Dummheit im Wege steht, verliert jeder“. Pass absolut zum Bild. #trump #Fauci #coronavirus "
17,Non le coronavirus existe depuis 2003.. Rien de nouveau dans cette article
18,#coronavirus bitmedi başımıza #Hantavirus geldi
19,"se o >>>inaudivelcoronavirus, espero q ele morra daqui pra meia-noite"
20,"La nausée permanente ! #barrésinoussi ancienne de l’#INSERM, intime de #YvesLevy, époux de @agnesbuzyn, grande promotrice du #TRUVADA de #GILEAD qui tente de fourguer #REMDESIVIR contre #coronavirus"
21,resumo do discurso do bolsonaro: tenham coronavírus.
22,Economie - Etats-unis: Coronavirus aux États-Unis: une campagne p- https://bit.ly/2vMM06F #finance
23,180 g Coconut powder 180 g egg whites 225 g sugar 30 g butter 15 g vanille Mix everything together and heat up to 55 degree and colder to room temperature And make it ball and cooking in oven for 20 minute at 160 degrees #COVID19 #coronavirus #StayAtHome #chefelkhaldy
24,"Ptdr leto il m’a tuer dans sa prévention coronavirus, en mode pasteur congolais 😂😂😂😂😂"
25,"According to the NY Times database, more than 700 cases of the novel coronavirus have been diagnosed so far in Texas.” Stupid? Deranged? Fascist! Yup Dangerous to everyone else in Texas? Absolutely🤬"
26,Tomando té mientras en las noticias hablan del coronavirus
27,"#coronavirus #COVID19 🆕 Professionnels de santé et du médico-social =&gt; Une rubrique dédiée avec doctrines régionales, recommandations et liens utiles ⬇️"
28,"Quarantining infected people, workplace distancing and school closures are most effective in combatting the spread of the new coronavirus when implemented together, according to new research looking at Singapore's response to the killer disease "
29,"Non, le #coronavirus n'est pas réservé ""aux Blancs"". #restezchezvous"
30,"Mes pensées à tous les malades du #coronavirus #COVID19 . Un peu d'humour pour bien passer le confinement. Pour les footeux @ChampionsLeague @beinsports_FR ,@canalplus @lequipedusoir"
31,Putain mon pestacle KARRE VIP de kaidi à la cigale il va être reporté à cause du corona virus je vais mon je vais faire mon pestacle en septembre alors
32,Will somebody please tell me how in hell did Diblasio get elected Mayor !!!!! The man is a clown ! #mayordiblasio #coronavirus #votethisxlownout #NewYorkStateStrongerTogether #NYC
33,Surtout vous et votre parti avec le manque de réactivité contre le corona virus 
