,Text
0,"Coronavirus kann eine Lehre für die USA sein. Das eine Kranken-Versicherung ein natürliches Recht für jeden Menschen ist, wo eine ganz kleine Gruppe von Privilegierten sich quer gegen dieses Recht stellt.."
1,"Ellah Cc, Bizleri (Müslüman'ları ve Müslüman olacakları), Corona Belasın'dan Muhafaza eylesin !!! Ayağımıza Taş değmesin İnşeallah,......... #coronavirus"
2,pega coronavirus la?
3,"#Nachtschicht, #Video Zeit: #US #USA ""#Werbung"" ▶ #Coronavirus v. gestern von exakt dieser Zeit +-1h. #Zusammenschnitt: Clip 1-2 sind offizielle der ""#Behörden"" aus #NYC (ABC7),der 3. ist von #kommerziellen #PKW #Hersteller aus...JA, #SÜDKOREA - war da nicht was bzgl. #Virus?!"
4,"CORONAVIRUS (VIRUS À COURONNE EN LATIN) EST LE NOM D’UN GENRE DE VIRUS ! LE VRAI NOM DU VIRUS ACTUEL EST ""COVID-19"" DONC ARRÊTEZ DE CROIRE AU COMPLOT DE CET IDIOT LE MOT CORONAVIRUS EST UTILISÉ DEPUIS DES ANNÉES PAR LES SCIENTIFIQUES POUR DÉSIGNER UN TYPE DE VIRUS BIEN PRÉCIS "
5,Ouais sauf que le coronavirus existe depuis longtemps. Le coronavirus c’est une famille de virus. Et en 2002/2003 il y’a eu le SARS-CoV-2 qui avait des syndromes similaires au CoVid-19. 
6,Wenn Geld die Welt regiert sterben massenweise unnötig Menschen ! https://twitter.com/Humanistin/status/1242598489449803776 #Ethik #Wirtschaft #Forschung #Wissenschaft #Verantwortung #Coronavirus #Impfstoff #Pharma
7,"Wenn man nach Ital. schaut bricht die medizin. Versorgung bei einem deutlichen Anstieg Intensivpatienten scheinbar schon zusammen. In 2&3 Welt Ländern kann es dann noch deutlich schlimmer kommen, da die Menschen ohne moderne Medizin überleben müssen #lanz #coronavirus #COVID19"
8,Beim Lieferservice von @REWE_Supermarkt gibt es wieder Lieferdaten! Der persönlich wichtigste Indikator neben der Verdopplungszeit. #coronavirus #COVID19 #Hamsterkauf
9,La sobredosis de coronavirus en televisión indigna a la audiencia 
10,"#Coronavirus : attention aux #arnaques en tout genre, #masques, #médicaments, #désinfection d’appartement - France 3 Grand Est"
11,La OMS dice que EEUU podría convertirse en el nuevo epicentro del coronavirus 
12,Non basta non morire. Non ci sono ancora dati e mappatura del virus Lombardia. I lavoratori non sono carne da macello. Settimane in ospedale con polmonite virale grave non è una passeggiata. Il #coronavirus colpisce tutti. Confindustria può aspettare 
13,Sehr guter Artikel zum Thema #COVID19 #coronavirus und wie es in ein paar Wochen weitergehen soll: 
14,Montan haben viele Angst Von das Coronavirus ganz einfach Hände waschen regelmäßig Abstand halten keine Hamsterkäufe dann ist man gut ausgestattet keine Sorge bald geht auch der Virus wieder zurück es fällt jeden Tag weniger an Virus krank am wir bedanken uns alle Ärzte 
15,Zweifel an Rechtmäßigkeit der Maßnahmen gegen Corona-Virus 
16,"Gibt ja auch Sinn: gerade die Slums bieten ideale Bedingungen für einen massiven #Coronavirus-Ausbruch. Enge, Armut, fehlende Hygieneeinrichtungen, fehlende medizinische Betreuung... Traurig dass es dafür Gangs braucht, weil der Präsident noch bekloppter ist als #Trump! /MS"
17,"In #Brasilien ist der Rechtsradikale #Bolsonaro an der Macht - ein Wissenschaftsleugner, der auch das #Coronavirus #covid19 verharmlost. Wer nimmt das Virus ernst und verhängt Ausgangssperren in den Slums von #RiodeJaneiro? Richtig: Kriminelle Gangs! /MS"
18,"Streit über ""Wuhan-Virus"" #coronavirus #COVID19 #COVID2019"
19,"Um #Obdachlose vor dem #coronavirus zu schützen, müssen wir diese in Einzelzimmern unterbringen. #SocialDistancing. Dazu gibts auch eine Petition. Wie ist bei der Initiative der Senatssozialverwaltung sichergestellt, dass Obdachlose sich nicht gegenseitig anstecken? Kluckstr: https://twitter.com/taz_berlin/status/1242493885265391617"
20,Zu #coronavirus . 
21,"Bin zwar nicht in Quarantäne, raus darf ich trotzdem nicht... Es läuft also aufs selbe hinaus. #covid_19 #coronavirus #corona #coronapanic #coronapanik #sarscov2 #quarantine #quarantaene #tyranneidertristesse… https://www.instagram.com/p/B-IrLjtITh-/?igshid=1xr9djbbhbtec"
22,#Coronavirus: Jetzt 200.000 Infizierte in #Europa. Die USA zieht im Eiltempo nach und wird diesen Stand wohl in 5 Tagen erreichen. Infizierte in China insgesamt über den dreifachen Zeitraum: Etwas mehr als 81.000. Wir haben die Katastrophe kommen sehen und viel zu spät gehandelt
