,Text
0,پروازهاى ماهان ويروس رو وارد ايران كرد و جمهورى اسلامى به خاطر حضور ارزشى ها در راهپيمانى ٢٢ بهمن و انتخابات شيوع كرونا را پنهان كرد. جمهورى اسلامى كمك هاى بشر دوستانه را نيز راهى سوريه و لبنان كرد. ما مردم ايران قربانى اهداف پليد سياسي جمهورى اسلامى شديم #COVIDSanctionsLie
1,▫️معیارهای #ایتالیا برای درمان مبتلایان به ویروس #کرونا: ▫️سن بالای ۸۰ =&gt; احیاء انجام نشود. ▫️سن ۷۰-۸۰ اگر شخص مبتلا به دیابت، مشکل قلبی، بیماری کلیوی مزمن، مشکلات ریوی است =&gt; احیاء نشود. ▫️ونتیلاتور فقط برای کسانی که شانس بالایی برای زنده ماندن دارند استفاده شود. 
2,#فوری: خوب بلاخره یه #خبر_خوب #ویروس_کرونا بر طبق گفته محققین در گستره جهانی که پخش شده جهش و تغییر ژنتیکی جدی نداشته است.پس میتوان امیدوار بود که یک واکسن برای یه دوره بلند مدت براش ساخته شود. و ویروس نتواند با جهش و تغییر ژنتیکی بر آن غلبه کند. یک گام به #واکسن_کرونا نزدیک شدیم 
3,بعد از مدتها تا چهار ونیم صبح کار کردم. اون هم کارهایی که نیازمند تمرکز بود و دلم براشون تنگ شده بود. #کرونا_ویروس
4,محسن شریفی، جوان #انزلی_چی که مدتی به علت ابتلا به #کرونا در بیمارستان #بندرانزلی بستری شده و مرتضی کهنسال، مدعی #طب_اسلامی در بیمارستان بر بالینش حاضر شده بود؛ درگذشت. #انزلی #کرونا_ویروس #Anzali #Bandar_Anzali #COVIDー19
5,تمام پیشرفت بشر در زمینه پزشکی و تجهیزات پزشکی رونمایی شد در دوجمله خدا کنه تابستون بیاد کرونا ویروس نابود بشه خاک بر س بشر رید واقعا رید
6,تخمین زده شده که بیش از ۴۲۷میلیون نفر در هند درگیر محدودیتهای ناشی از ویروس #کرونا خواهند شد در حالیکه تا به امروز ۵۳۶ مورد اعلامی داشته است 
7,این دختر منه که ۲۷ ماهشه فکر میکنم سطح درکش از کرونا به اندازه خیلی از مردم هست که رعایت نمیکنن #قرنطینه #کرونا_ویروس 
8,ویروس کرونا برای بشر ویروس ناشناخته‌ای نبود و تحقیقات هم امکان جهش اون رو نشون داده بود. اپیدمی کرونا ناشی عدم سرمایه‌گذاری کافی تو حوزه تحقیقات (به‌جای حوزه‌هایی مثل بخش نظامی) و تبدیل کردن شرکت‌های پزشکی به بنگاه‌هایی سرمایه محوره.
9,فاز ممنون کرونا دیگه چه کسشریه.یعنی نمی تونین بدون این ویروس که داره جون‌کلی ادم رو میگیره به کره زمین محبت کنین؟؟!!!!!!
10,درگذشت یک پزشک در قم بر اثر کرونا 🔹رئیس دانشگاه علوم پزشکی قم گفت: امروز دکتر حسین جوهری متخصص گوش، حلق و بینی که از روز اول شیوع ویروس کرونا، همواره در راستای کمک به بیماران تلاش می‌کرد و خود خود نیز درگیر این ویروس شده بود، درگذشت ⏬⏬⏬ http://phana.ir/fa/doc/news/27057
11,تحریم‌های ایران در شرایط همه‌گیری کرونا لغو شود 🔹کمیسر عالی حقوق بشر سازمان ملل متحد خواستار بازنگری در تحریم‌ها علیه کشورهایی مانند ایران شد که با همه‌گیری ویروس کرونا روبرو هستند 🔹میچل باچله گفت: در این برهه حساس، تحریم‌های وضع‌ شده علیه ...⏬⏬⏬ http://phana.ir/fa/doc/news/27058
12,"احتمال شیوع یک بیماری دیگر در چین؛ مرگ یک مرد بر اثر ابتلا به ""هانتا ویروس"" 🔹با وجود درگیری جهان با ویروس کرونا، بیماری دیگری نیز در حال رشد است، آزمایش مردی از اهالی یوننان چین نشان داد که او مبتلا به ""ویروس هانتا"" است ⏬⏬⏬ http://phana.ir/fa/doc/news/27044"
13,اتحادیه اروپا ۲۰ میلیون یورو کمک بشردوستانه به ایران ارسال می‌کند 🔹هماهنگ‌کننده عالی سیاست خارجی اتحادیه اروپا گفت: این اتحادیه 20 میلیون یورو کمک‌های بشردوستانه به ایران می‌فرستد تا به این ترتیب به مهار گسترش ویروس کرونا در ایران کمک کند. ⏬⏬⏬ http://phana.ir/fa/doc/news/27045
14,احتمالا تا ۶۳٪ ایرانیان مبتلا به کرونا خواهند شد 🔹کارگروه اپیدمیولوژی وزارت بهداشت ایران اعلام کرد: در صورت دست‌ نیافتن به روش‌های درمانی جدید، واکسن و ثبات میزان مسری‌ بودن و بیماری‌زایی ویروس، روند طبیعی این بیماری در سال‌های آینده در ایران...⏬⏬⏬ http://phana.ir/fa/doc/news/27055
15,انشاءالله که بشریت از بحران ویروس #کرونا رهایی یابد. شیشه عمر ما دست پروردگار یکتاست و ما از درک حکمت و حاکمیت خالق خلّاق هستی عاجز هستیم. 👇 اما ایمان دارم همانطورکه #کرونا فَکِّ حرّافانِ دغل‌باز #جهل_مقدس را گشوده، انشاءالله دکان ایشان را تخته خواهد کرد.
