,Text
0,Hi President Please tell your scientists to find Corona virus vaccine as soon as possible 🇮🇷✋🏼
1,"Nós, brasileiros (menos os alienados) já estamos tensos, carregados de angústia e incertezas, tentando fazer cada um sua parte pra combater o coronavirus e ainda temos que aturar o presidente em rede nacional atrapalhando, perturbando. Tem que enxotar essa criatura do planalto!"
2,Big Tech Could Emerge From Coronavirus Crisis Stronger Than Ever https://www.nytimes.com/2020/03/23/technology/coronavirus-facebook-amazon-youtube.html #coronavirus
3,China must have respect for the world ans start acting like decents human being by eating F proper food . Food that actually come from proper safe & clean sources. Otherwise it's gonna be the cause of our extinction #COVID19 #coronavirus #Hantavirus
4,.@SenAmyKlobuchar @SenTinaSmith I want to vote this year without putting myself and others at risk for #coronavirus. Pass #VoteAtHome legislation so that voters can stay safe and exercise our constitutional right to vote. via @RepresentUs
5,Não tem coronavirus certo 🤣
6,"All governments around the world allocated $millions to support private businesses in coronavirus #COVID19 crisis. Except #Iraq, no plans whatsoever due to lack of actual government and internal political conflict."
7,Petition: Suspend sanctions against #Iran for the duration of the #coronavirus pandemic 
8,"N é posicionamento político para ninguém ficar ofendido. Seguinte. Véi da Havan, Justus, dono do Madero. Vão combinar, já q é para voltar às atividades, venham juntos, vem ficar com o trabalhador, da o exemplo, se pegar o Coronavirus, tem que tratar igual a uma pessoa comum"
9,صورة توضح انتشار فايروس كورونا الحقير في العالم #COVID19 #coronavirus #خليك_بالبيت #بلوة
10,e cabe ao coronavírus matar o bolsonaro. 
11,Live map showing the spreading of coronavirus around the world https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
12,"In Iran, Coronavirus Is Suffocating an Already Strained Experimental Music Scene http://dlvr.it/RSVX66"
13,"US, UAE Troops Hold Major Military Exercise Amid Coronavirus, Iran Tensions http://dlvr.it/RSVX5Q"
14,The Untold Story of How Iran Botched the Coronavirus Pandemic http://dlvr.it/RSVX4X
15,"Essa merda podia pegar coronavirus e morrer, capeta dos inferno, que ódio dessa praga."
16,"só quero tomar uma cerveja s fumar um palha no bar com os meus amigos, é pedir muito corona vírus?????????"
17,plot twist: o bolsonaro eh o corona vírus
18,"COVID-19 | Corona Virus: Epidemiology, Pathophysiology, Diagnostics "
19,"Depois desse desserviço em rede nacional as pessoas vão voltar para as ruas e os casos de coronavirus vai aumentar, vai tudo pra conta desse #BolsonaroGenocida inconsequente."
20,"p.s.: cuidado com o coronavírus amiga, sua idade te coloca em zona de risco"
21,#رسوم_جامعه_الاعمال_بجده #رسوم_جامعه_الاعمال_بجده We really need 50% discount for this semester as result of coronavirus and Its consequences. Many students can’t afford this semester fees. @moe_gov_sa @MOISaudiArabia @UBT_EDU
22,. #رسوم_جامعه_الاعمال_بجده We really need 50% discount for this semester as result of coronavirus and Its consequences. Many students can’t afford this semester fees. @moe_gov_sa @MOISaudiArabia @UBT_EDU
23,#رسوم_جامعه_الاعمال_بجده We really need 50% discount for this semester as result of coronavirus and Its consequences. Many students can’t afford this semester fees. @moe_gov_sa @MOISaudiArabia @UBT_EDU
24,#رسوم_جامعه_الاعمال_بجده #رسوم_جامعه_الاعمال_بجده We really need 50% discount for this semester as result of coronavirus and Its consequences. Many students can’t afford this semester fees. @moe_gov_sa @MOISaudiArabia @UBT_EDU
25,"Por favor coronavirus faça seu trabalho Você só precisa matar um, você consegue."
26,parem de ter coronavirus por favor eu qro voltar a beijar esta mulher 🙏🏻😭 
27,ترامپ بالاخره پذيرفت آمار در حال افزايش است! اون مسوؤل شيوع #COVIDー19 در آمريكا و تمام دنياست! Trump approval rating rises amid response to coronavirus 
28,Alguém ta ligado se ja tem algum caso de coronavírus confirmado em moc?
29,Gilna coronavirus bes 𝗵𝗮𝗻𝘁𝗮𝘃𝗶𝗿𝘂𝘀 shno b3d😭😭😭
30,"Time series map of coronavirus cases, Jan 21–Mar 22. Data from JohnsHopkins University. Learn more: http://ow.ly/H8Av50yUBwd #COVID19"
31,Coronavirus party 
32,This interactive map shows all reported coronavirus cases in the world 
33,SE VOCE FIZER ISSO CORONA VIRUS VAI SER O QUE MENOS VAI TE PREOCUPAR
34,Coronavirus may have infected half of UK population — Oxford study https://www.ft.com/content/5ff6469a-6dd8-11ea-89df-41bea055720b?sharetype=blocked via @financialtimes
35,#رسوم_جامعه_الاعمال_بجده We really need 50% discount for this semester as result of coronavirus and Its consequences. Many students can’t afford this semester fees. @moe_gov_sa @MOISaudiArabia @UBT_EDU
36,آقای #روحانی دیگه اینو ما نباید بگیم... از #انگلیس تبعیت کن حداقل ، اونها #قرنطینه و محدودیت های آمد و ‌شد رو جدی گرفتن. جان ملکه بذار زود این #کرونا جمع بشه کار داریم به خدا گرفتاری داریم. #COVID19 #coronavirus
37,Coronavirus: Feeding A Sick Nation | 1A 
38,#در_خانه_بمانیم #کرونا #سگ #گربه #coronavirus #corona #dog #cat
39,Spanien nådde 40.000 fall av smittade med #COVID2019 #CoronaVirusSverige #coronavirussweden #Coronasverige #COVID19sverige #COVID19 #CoronaPandemie #coronavirus 
40,"#Iran Coronavirus: Ministry Confirms 24,811 Cases and 1,934 Deaths #BaghdadPost #Covid19 #irancoronavirus"
41,"Just becarefull , for me i think we will dump ^^, unless good news of corona virus"
42,” لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ “، بهذا الدعاء العظيم ناجى نبي الله يونس ربه في الظلمات وهو في بطن الحوت، وهذا الدالعظيم كان سببا في نجاته من الكرب والغم الذي كان فيه،،،، #coronavirus
43,pedi um açaí e to pensando e se o entregador tive coronavirus
44,"One day we're gonna look back at this Coronavirus thing and be like, ""Yeah, that was crazy"""
45,"Coronavirus, 2020 elections affecting Malawi Govt revenue "
46,$6T coronavirus stimulus package #HoldChinaAccountable #COVID19
47,Wtf is a coronavirus party? Natural selection?
