,Text
0,@PhillyD in South Korea there has been an atrocious case of sexual slavery which has been largely mishandled by the Korean government and sadly shadowed by the news about Corona virus.
1,"한국말 - 朝鮮 : If North Korea needs coronavirus help, “We'll give them help,” Trump says: If North Korea needs help fighting off the coronavirus, then the U.S. will ""give them help,"" President Donald Trump told reporters at the White House on ... View… http://dlvr.it/RSVXrz"
2,BFIC Offering Psychological Support for COVID-19 https://www.hapskorea.com/bfic-offering-psychological-support-for-covid-19/ #SouthKorea #Busan #Coronavirus #COVID19
3,COVID-19 Latest: Education Office Recommends Extending Closures for Institutes https://www.hapskorea.com/covid-19-latest-march-25/ #SouthKorea #busan #Coronavirus #COVID19
4,South Korea’s Prime Minister has said that there’s a need to strengthen #coronavirus screening of US arrivals. Aiming to start on 27th March. (Unclear ATOW whether this will involve testing for the virus - same as all arrivals from Europe)
5,"▪ GLOBAL COVID-19 PANDEMIC U.S. COVID-19 cases top 51,000, surging by nearly 10,000 new infections per day #COVID19 #coronavirus #Global"
6,▪ EVACUATING ITALY S. Korean nationals in COVID-19-hit Italy will leave next week on two chartered flights #Italy #coronavirus #SouthKorea
7,"▪ COVID-19 IN S. KOREA S. Korea reports 76 more cases of new coronavirus, death toll at 124 #COVID19 #coronavirus #SouthKorea"
8,Man dies after taking chloroquine in an attempt to prevent coronavirus 
9,",,,,,,,,,,,,,Z,,,,,,,, ,, ,,,😃▶️▶️😅😅🥺⏹️⏹️⏹️⏹️⏹️😘🥺🤣👌🏻o #coronavirus"
10,"Fearing coronavirus, Arizona man dies after taking a form of chloroquine used to treat aquariums "
11,"@drsanjaygupta Hello from Seoul. Local government here recommends wash hands more than 30 seconds to keep healthy, but some parts of the world are saying 20 seconds is enough. Is there any world standard of best time washing our hands at this #CoronaVirus pandemic? Thanks."
12,"Trump/Birx said the US has conducted more overall coronavirus tests than South Korea. That's pretty misleading, as @DomenicoNPR points out. https://www.npr.org/sections/coronavirus-live-updates/2020/03/24/820981710/fact-check-u-s-testing-still-isnt-close-to-what-south-korea-has-done"
13,"#COVOD19 | #KCDC #ReInflow "".., suggesting that stopping the #coronavirus from arriving via other countries is a top priority for preventing a third wave of #infections."" &gt; Nearly 22% of #SouthKorea’s new cases on Monday were #overseas arrivals http://english.hani.co.kr/arti/english_edition/e_national/933973.html"
14,"2 weeks ago South Korea: Hey Denmark, yall want some coronavirus test kits? Denmark: ""No thanks"", we good. Sunday Denmark: Actually, nevermind. Could we get those test kits? South Korea: You're going to have to get on the waiting list "
15,"Taiwan shows its mettle in coronavirus crisis, while the WHO is MIA https://brook.gs/3b8atm0 via @BrookingsInst Shame on @WHO #Taiwan #Conoravirus #ChinaVirus #CCPVirus #XijinpingVirus"
16,"Covid-19 ile mücadele ederken, su tasarrufunu da unutmayalım lütfen 😣 #coronavirus #hacettepe"
17,Taiwan says WHO ignored its coronavirus questions at start of outbreak https://channelnewsasia.com/news/asia/coronavirus-covid19-taiwan-world-health-organization-12571150#.XnqSJLQEk_U.twitter @WHO is disgraceful for ignoring the lives in the world! #Conoravirus #ChinaVirus #XijinpingVirus #CCPVirus
18,How Taiwan is containing coronavirus – despite diplomatic isolation by China https://theguardian.com/world/2020/mar/13/how-taiwan-is-containing-coronavirus-despite-diplomatic-isolation-by-china?CMP=share_btn_tw (The best way is NEVER BELIEVE CHINA!) #ChinaVirus #CCPVirus #Conoravirus #XijinpingVirus
19,"Trump, hours after reportedly asking South Korea for medical equipment to fight the coronavirus: ""Our tests are better."" "
20,[1/3] Thoughts about the CoronaVirus press conferences: 1) Trump claims that the US has tested more people in the last 8 days than South Korea has test in the last 8 weeks. Is that legit? Sounds like another lie (though even if true it’s irrelevant due to larger population)
21,🤦🏾‍♀️ there is an Army commander that coined “Coronavirus special” for the restaurants on his base... 🤦🏾‍♀️ marketing sucks! Lol 😂 then he got mad because people complained about the name.
22,"한국말 - 朝鮮 : American soldier found dead in barracks in South Korea; military rules out coronavirus: A combat engineer with the 2nd Infantry Division sustainment brigade was found dead in her barracks at Camp Humphreys, ... View article... http://dlvr.it/RSVRJk"
23,"한국말 - 朝鮮 : South Korea testing passengers for coronavirus: South Korea says it will fully fund the treatment for virus carriers regardless of their nationality. Even if they test negative, South Korean nationals arriving ... View article... http://dlvr.it/RSVRFs"
24,"Why hasn't the WHO been able to come up with a more scientific method of preventing infection? A gram of water can produce two billion 0.01 mm diameter water vapor with 539 calories, heating and killing the coronavirus 100 times less than the water vapor."
25,"Please do not respond to gift tax, or any kind of fee. Contact the FBI (http://www.ic3.gov) to track and stop fraud. There no vaccine to prevent coronavirus disease 2019 (COVID-19). It is to avoid exposure to the virus. The virus is only war against Wuhan's China. Thank you"
26,QUEDENSE EN CASA LA CONCHA DE LA LORA ahre #AHORA #CuarentenaObligatoriaYa #coronavirus #FelizMartes #COVID2019
27,Foreign countries seek S. Korean military's anti-coronavirus know-how 
28,Censura China ayudó a la expansión del coronavirus según reporteros sin fronteras http://dlvr.it/RSVKGg
29,8 US States Follow DHS in Naming ‘Blockchain Managers’ as Essential Employees in Coronavirus Crisis http://dlvr.it/RSVJzB
30,Dow rebounds more than 11% in best day since 1933 as Congress nears coronavirus stimulus deal - 
31,"한국말 - 朝鮮 : Jameel Warney's season in South Korea is over because of coronavirus pandemic: Former Stony Brook University basketball star Jameel Warney was set to return to Korea, where he plays for the Seoul SK Knights in the Korean ... View… http://dlvr.it/RSVJZH"
32,What does Ja Rule think about all this coronavirus stuff?
33,"So breitet sich das Coronavirus aus - in den deutschen Bundesländern, Europa und weltweit. Aktuelle Zahlen der bestätigten Infektionen, der geheilten Patienten und der Todesfälle auf einer interaktiven Karte. #corona #COVID19 https://interaktiv.morgenpost.de/corona-virus-karte-infektionen-deutschland-weltweit/ via @funkeinteraktiv"
34,What food retailers should do during the coronavirus crisis 
35,Le coronavirus quand il a vu que il avait un nouveau virus 
36,"...someone just asked, ""...should plastic surgeons stop marketing, for the Coronavirus?""..."
37,"@booksandmeteors et moi : ""on ira au Japon à l'été 2021, ce sera moins cher, comme cette année il y a les JO."" Coronavirus : "
38,there’s civilians complaining they can’t leave their house and we have military members going to coronavirus parties so they can get 14 days off of work😭😭😭
39,Twitter is donating $1M across two foundations to support journalism during the coronavirus pandemic https://ift.tt/2UBqFFw
40,Snapchat’s Zenly launches coronavirus Stay Home leaderboard https://ift.tt/2UjqOPj
