,Text
0,la manera en la q pienso q has puesto ese vídeo por que se parece a ana belen
1,Coronavirus
2,Defensa pide apoyo a la OTAN para hacer frente al coronavirus https://www.abc.es/espana/abci-defensa-pide-apoyo-otan-para-hacer-frente-coronavirus-202003241954_noticia.html#vca=rrss-inducido&amp;vmc=abc-es&amp;vso=tw&amp;vli=noticia-video a través de @ABCespana
3,Trump recurre a los superordenadores para luchar contra el Coronavirus 
4,Quan puja l'ateisme pugen les coses mal fetes i d'ací se'n deriven mals. El desastre del coronavirus mateix és obra d'un govern que simpatitza ben poc amb el cristianisme. https://twitter.com/CristiansPV/status/1213596698402066437
5,El sindicato docente ANPE se opone a prolongar el curso hasta julio tras la suspensión de clases por el coronavirus 
6,"Un puma caminando por las calles de Santiago de Chile, pescados en los canales de Venecia, aire más limpio en China, un zorrillo por las calles de Bogotá, animales silvestres en ciudades de Canadá. El planeta nos está enviando un mensaje crucial a través del coronavirus..."
7,NOTICIA | #CORONAVIRUS | SE CANCELA LA TEMPORADA 19/20 EN 🇨🇭. La temporada 20/21 comenzará como si este año no hubiera existido. Todas las competiciones quedan canceladas. ¿Tomarán esta medida otras grandes federaciones como @FedPatinaje 🇪🇦 o @FPP_hpatins 🇵🇹? 🤔
8,#FOLcomparte #DesdeCasaJuntos #EsElMomentoAhora Hoy he descubierto estas palabras que ha compartido @vkuppers apelando a la responsabilidad frente al #coronavirus... sobran comentarios... hablan por si solas #MentesExpertas #JuntosSomosInvencibles
9,"Coronavírus: Suspendam todas as contas de luz, água, gás, aluguel, IPTU, internet e Imposto de Renda durante a crise -- assine aqui e RT: "
10,MA y si tuviéramos los audios😭😭😭😭😆LLORARIA DE LA RISA
11,ahora puedes cambiarlo por coronavirus :_ 
12,"Amiga d mi abuela Madrid, 95 años, problemas respiratorios y murió en pocos días en su casa, ni siquiera la llevaron al hospital porque no había nada que hacer, ha fallecido por “muerte natural” según certificado de defunción . Alguien cree que no fue Coronavirus? Pero no cuenta"
13,"Y eso que a la gente mayor con enfermedades anteriores les han dado como causa de muerte la enfermedad, no el coronavirus, que parece que sólo es un agravante, no un motivo en sí."
14,El 80 % de los escolares del mundo está sin colegio por el coronavirus 
15,#covid-19 El alarmante descubrimiento a bordo del Diamond Princess: el coronavirus puede sobrevivir en superficies hasta 17 días http://a.msn.com/01/es-ve/BB11EhCp?ocid=st #quedateencasa
16,Miguel Layún admits to being scared about what #coronavirus could do in Mexico https://en.as.com/en/2020/03/24/football/1585080850_606343.html
17,coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
18,"El médico chino q dio la voz d alarma dl coronavirus, murió en China antes dq se aplicara la cuarentena y se tomaran medidas en el país... #ahilodejo"
19,"Hemos conocido que el CSIC alertó al Gobierno en ENERO de la gravedad del Coronavirus España acumulaba muertos mientras no se tomaban medidas, se celebraba el 8M, y Sanidad escribía esta mierda que ni si quiera borran ⤵️ "
20,"Si me dieran un euro por cada vez que oigo la palabra coronavirus, haría mascarillas, guantes... para los sanitarios"
21,Madrid se enfrenta al coronavirus con plantillas sanitarias menguadas por los recortes: menos profesionales que en 2010 - 
22,Se han muerto muchas personas por coronavirus y vamos a a abrir la UCI que os teníamos cerrada en el Infanta Sofía pero eh Real Madrid gracias por donar mascarillas. Es que para tocarse el coño lo de Ayuso colega
23,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti
24,"Muito obrigado às companheiras do @Movimento_RUA pelo convite para esse debate. O sintoma é o Corona, a doença é o Capitalismo! Muchas gracias a las compañeras de @Movimento_RUA por invitarnos a este debate. El coronavirus es el síntoma, la enfermedad es el capitalismo!"
25,Este uno de los canales que sigo a diario para estar informado de la crisis del #coronavirus. Os lo recomiendo: https://www.youtube.com/channel/UC9ohLcxGUDGVIp69s26swuw cc @alsanagust
26,El coronavirus pone a prueba las redes en España : https://revistabyte.es/actualidad-byte/redes-internet-coronavirus-espana/ #Cloud #TIC
27,🔝 “La luchadora de Madrid (@IdiazAyuso) contra el coronavirus” vía @FinancialTimes
28,La irresponsabilidad de Bolsonaro frente al coronavirus puede salirle cara - https://m.eldiario.es/3c235a33_1008949811/ UN NEGACIONISTA AL QUE LE VA A SALIR MUY CARA SU ACTITUD
29,Lo de incluir el movimiento de personas en Social Drive por el #coronavirus tiene su miga.
30,Clara Ponsatí marcó el camino de la infamia y la burla hacia los muertos en Madrid. Tiene alumnos aventajados en esta carrera de reirse del dolor de los madrileños. Despreciables. #coronavirus 
31,Coronavirus al reves es surivanoroc que no significa nada igual que yo para la cuqui 😭😭😭
32,"Coronavirus: España tiene 5.400 sanitarios infectados, un 40% más en un día "
33,"¡Maldito Twitter! Fernando Simón, otra vez haciendo grandes esfuerzos, para evitar reconocer errores del Gobierno. #Coronavirus #QuedateEnCasa #YoMeQuedoEnCasa"
34,El coronavirus pone a prueba las redes en España : https://revistabyte.es/actualidad-byte/redes-internet-coronavirus-espana/ #Cloud #CloudComputing
35,Sexo anal o sexo oral: ¿cómo afecta el coronavirus a tu vida sexual? Vía @nuevatribuna
36,Ya he superado el primer hospital en Two Point hospital. Pronto podré opinar del tema gestión coronavirus... #NintendoSwitch
37,es que literal nunca me lo había pasado tan bien en una clase
38,lo gracioso que ha sido este día gracias al cocainomano caraperro husky con mezcla de bulldog😍
39,"Si #EEUU se convierte en el foco de la pandemia #coronavirus, el mundo bloquerá a #EEUU. De nada la servirá activar su economía. LLegaremos a ver lo nunca imaginado. #bloqueo"
40,#Debalconabalcon #Ansiedad #QuedateEnCasa #Covid19#Coronavirus
41,"Martina en línea, Lucía desconectada: la brecha escolar que marca el coronavirus via @el_pais"
42,é isso boa noite GaLeRa
43,Cebrián sugiere demandar al gobierno Sánchez por la crisis del coronavirus vía @elnacionalcat_e
44,"Alerta! Bolsanaro está enganado os brasileiros. Assim como esconde que tem o #Covid_19, Bolsonaro também está escondendo os números reais de infectados e mortos pela pandemia do #coronavírus. No Brasil, hoje, são testados somente os casos graves. #ForaBosolnaro #canalhavirus"
