,Text
0,Wie Politiker in verschiedenen Ländern 🇭🇺 🇽🇰 🇮🇱 unter dem Deckmantel des Coronavirus knallharte Machtpolitik ausüben. #10vor10 @bignasilber @PeterBalzli @HashimThaciRKS @ViktorOrban @netanyahu
1,#Coronavirus 
2,How blood from #coronavirus survivors might keep hospitals afloat 
3,"Dr. Birx from the White House coronavirus task force issues the advice as nationwide cases top 50,000 "
4,How to help the free market fight #coronavirus 
5,"Democrat Rep. Clyburn Says Coronavirus ""Is a tremendous opportunity to restructure things to fit our vision"" https://www.thegatewaypundit.com/2020/03/democrat-rep-clyburn-says-coronavirus-is-a-tremendous-opportunity-to-restructure-things-to-fit-our-vision/ via @gatewaypundit"
6,Biden Does Not Want the Democratic National Convention Cancelled Despite Coronavirus Pandemic https://www.thegatewaypundit.com/2020/03/biden-does-not-want-the-democratic-national-convention-cancelled-despite-coronavirus-pandemic/ via @gatewaypundit
7,"""An adviser to Iran's Minister of Health also rejected the offer of Doctors Without Borders for help in fighting the coronavirus."" #COVID19"
8,"Researchers are tracking another pandemic, too—of #coronavirus #misinformation | Science | AAAS"
9,Coronavirus - Trump will bald Normalbetrieb via @sz
10,#Coronavirus Trotz geringer Chancen: Schweizerin überlebt Covid-19 mit Ebola-Medi https://www.20min.ch/wissen/news/story/So-bekaempfen--rzte-das-Coronavirus--Arbeitstitel--31714067?utm_campaign=20minShared&amp;utm_source=article_shared&amp;utm_medium=twitter via @20min
11,"""High Representative of the European Union,‌ Josep Borrell, announced that the EU will send €20 million in humanitarian aid to Iran to help alleviate the coronavirus outbreak, and will support Tehran's request for IMF financial help."" #COVID19"
12,#coronavirus Hätte ich im Januar bloss ein paar Tonnen gekauft. 
13,Coronavirus Outbreak: How Bitcoin is Faring So Far https://ift.tt/2WCHLWt
14,"""Armenia has announced even stricter regulations during the state of emergency, which was declared on March 16 to prevent further spread of coronavirus."" #COVID19"
15,Coronavirus test included in luxury Swiss hotel's quarantine package - New Zealand Herald 
16,WHO launches global megatrial of the four most promising #coronavirus treatments | Science | AAAS 
17,😂😂😂 ei Dr. Baby Jet! so how does the nim tree drive away this Coronavirus? this one dier I wouldn't agree with you. 
18,"Das #Coronavirus greift meine Existenz an, ob ich eine Entschädigung vom Bund/Kanton erhalten werde steht noch in den Sternen. Wer mich finanziell unterstützen möchte findet auf meiner Website die Kontoverbindung. Herzlichen Dank für Eure Hilfe. René 🖖🏻🌻 "
19,"Ich teile die Einschätzung nicht, dass sich die Schweiz gegen den Hammer entschieden habe. Die neusten Ansteckungsdaten zeigen, dass die Massnahmen nützen. Aber ansonsten eine gute Übersicht zum #Coronavirus #COVID19 #StayTheFHome by Christina Mueller"
20,"State Department says it has repatriated 9,000 Americans amid coronavirus pandemic "
21,"Terrence McNally, Tony award-winning playwright, dies of coronavirus complications "
22,"#Coronavirus, le nuove #bufale: dal #pane che infetta alle #zampe… https://goo.gl/fb/32sbR8 salutedomani podcast"
23,"#Coronavirus e #cultura: offerta di musei, biblioteche e archivi in… https://goo.gl/fb/A3E4MS salutedomani podcast"
24,"#Coronavirus ##Svizzera, 8 casi sospetti per ogni test positivo… https://goo.gl/fb/1HZBjA salutedomani podcast"
25,"#CORONAVIRUS, ARRIVA IL VADEMECUM PER GLI ORTODONTISTI: Videochiamate… https://goo.gl/fb/y1Ww6k salutedomani podcast"
26,#Coronavirus e #farmaci #diabete: #lettera all' #AIFA per procedure… https://goo.gl/fb/XreXA7 salutedomani podcast
27,Excelente mi próximo #Presidente @luisabinader Coronavirus: PRM donará 40 mil kits para pruebas rápidas 
28,"Non ci sconfiggerete mai, sotto stress rendiamo ancora di più! Mai sottovalutare il nostro ingegno. #COVID19 #coronavirus "
29,7 Essential College Admissions Resources During Coronavirus 2020 
30,All tweets are now also accessible via http://www.coronaenglish.ch #CoronaInfoCH #CoronaVirusSwitzerland
31,86 nuevos casos hoy total : 387 en todo el pais #Coronavirus @A24COM
32,If you are Swiss and abroad but want to return to Switzerland – in this thread you find all the info. #CoronaInfoCH #CoronaVirusSwitzerland #CoronaVirusSchweiz
33,"#Coronavirus 6 Millionen Gesichtsmasken, die für Deutschland bestimmt waren, sind in Kenia spurlos verschwunden."
34,"Coronavirus: Garcetti issues emergency order allowing home delivery of alcoholic beverages from LA bars, restaurants https://abc7.com/business/la-mayor-issues-order-allowing-home-delivery-of-alcoholic-drinks/6043850/ via @abc7"
35,"Porqués si el fumiga El se muere, desaparece antes q el coronavirus! "
36,Mamma e bimba di due mesi positive al coronavirus https://www.varesenews.it/2020/03/mamma-bimba-due-mesi-positive-al-coronavirus/913892/ #coronavirus
37,"Das Video „Das Coronavirus erklärt &amp; Was du jetzt tun solltest“ gefällt mir gut, hier kannst du es selbst anschauen:"
38,La cantidad de votos que gano alberto por como se manejo con el coronavirus hay presi hasta 2050
39,Das erste Kind in den USA stirbt an Coronavirus 
40,Stock futures up as investors await coronavirus response stimulus package 
41,Democrats consider contingencies as coronavirus threatens to upend July convention 
42,Los Angeles Sheriff orders gun stores shut down due to coronavirus restrictions 
43,Stasera alle 18:20 ho seguito la conferenza stampa di Conte che ha detto una boiata dietro l'altra addirittura dice con il coronavirus abbiamo potuto finalmente fermarci dal caos di tutti i giorni Se questo è un presidente del CONSIGLIO 
44,When will the #coronavirus pandemic and social distancing end? | Science News 
45,How does no one still know if you are immune after you have #coronavirus???
46,Wahrscheinlich ist das Argument Coronavirus von Italien nur vorgeschoben. Ist der senile Tattergreis noch zu retten?
