,Text
0,"Even though the government have said they will cover your costs of 80% so you can continue to pay your staff wages, and so that they won’t lose their jobs during this pandemic should they have to self isolate because of the coronavirus? Many thanks."
1,Practicing social distancing #AnimalCrossing #ACNH #NintendoSwitch #coronavirus #staysafe
2,DAYYY 8 ! PERINTAH KAWALAN PERGERAKAN! NOTHING CAN BE DONE ! TERENCAT ALL PLANS ! SAY 🖕🖕🖕 TO ANY PEMBAWA VIRUS COVID 19! CORONAVIRUS ! BERAMBUS! NO BODY TRUSTED!
3,"Having failed to learn from China's experience, the UK & US govt's are worried about a big hit to the economy from an extended or proper #COVID19 lockdown. They are worried that China and other Asian countries will benefit because they got their act together over #coronavirus."
4,Why is Russia sending planes all over the place? Why are they supplying all this medical aid to Italy (9 planes in the last few days)? Don’t they have coronavirus? Why did they allow a plane to fly from Tokyo to Athens to light the olympic flame. 😵
5,#uk #coronavirusuk #lockdownuk #tommyrobinson #conservatives #brexit #maga #Trump2020NowMoreThanEver Deport Coronavirus Attacker Omar 
6,Sorry but what about all the tweets from people wishing 'terfs' get the Coronavirus? The unfortunate thing is men are .ore suspectible and trans women began life as wait for it.......Men signed A Trans Woman #NotThisTrans
7,"Imran Khan's polocy be Like '' Hey labourers, Go earn money and oh, ignore those dead bodies on the corner, You earn money '' #Imrankhan #Covid19 #coronavirus #Pakistan"
8,Coronavirus to be tracked using its genetic code 
9,The film community is coming together to show solidarity with movie theatre workers affected by closures due to the coronavirus. 
10,Spain: doctors struggle to cope as 514 die from coronavirus in a day 
11,He's become one of the most important faces on the coronavirus scene - but who is he? 
12,Coronavirus: Two more cases in Dorset https://www.dorsetecho.co.uk/news/18331848.coronavirus-two-cases-dorset/?ref=rss
13,The blessing of that is it’s a Coronavirus treatment unit and hopefully will free up other hospitals for other no. Corona cases ! It’s the only blessing but clinging into some hope in something ! We should have locked down weeks ago before it was needed
14,In line with government advice on the Coronavirus Comyn and James have temporarily closed their office and are working remotely - usual contact details. See http://www.comynsndjames.co.uk
15,One in twenty have lost their job due to #coronavirus - study 
16,"and criticising their earnings when Hollywood stars get paid as fucking much and do fuck all in these times. Because the Premier League is the richest in the world shouldn't mean only football players and clubs donate. Wheres Brad Pitt, Angelina Jolie? #coronavirus"
17,"@10DowningStreet @MattHancock Stop the sales patter, it's your go-to position we know but try to stop managing the narrative, it's a bad way to do government. Infographic: What is your trust’s biggest area of concern related to the Coronavirus outbreak - "
18,Guardia donates €1m Andy Robertson donated Mata donated Man Utd and Man City donated A number of football players have donated their own money towards the Coronavirus Where are the Hollywood stars? F1? Rugby? Politicians? Fuck you cunts always knocking football players...
