,Text,,
0,"Hey this was in sugfested..just watching the first part at the moment bcuz am working in something..rhis is mind blowing?? @DiscoverMilton Watch ""End-Time Financial HARDSHIP during the Coronavirus LOCKDOWN | The Economist TRUMP Card"" on YouTube ",,
1,Help make it happen for C3 Test for Coronavirus &amp; COVID-19 on @indiegogo,,
2,Coronavirus fuels abortion debate as states restrict access to procedure - ,,
3,LOLISWYDT And?,,
4,Coronavirus crisis ends military funerals at Riverside National Cemetery ,,
5,The Coronavirus Could Force Mass Slaughterhouse Closures https://www.livekindly.co/coronavirus-could-force-mass-slaughterhouse-closures/ via @livekindlyco,,
6,Coronavirus crisis ends military funerals at Riverside National Cemetery https://trib.al/XjP3rOg,,
7,"Slush like Kennedy center, unions, early voting, planned parenthood, postal service, green new deal and other add insult that have nothing to do with coronavirus?",,
8,you should?ôve known it was gonna be cancelled once the coronavirus hit ?ò≠,,
9,"Trump quiere ""reabrir"" la econom√≠a de EE.UU. en abril pese al coronavirus - Chile Noticias Ultima Hora ",,
10,At√© o momento Bolsonaro n√£o fez um √∫nico pronunciamento alertando sobre os perigos do Coronavirus - fez o contr√°rio. N√£o prop√¥s nenhuma medida pra ajudar os trabalhadores - fez o contr√°rio. Assassino e genocida. #FORABOLSONARO,,
11,?òThe Five??rips Pelosi for pushing unnecessary proposals in coronavirus ... https://youtu.be/NlI4UvDDcJI via @YouTube,,
12,He should donate Harvard endorsements toward Coronavirus and Student Debt relief. #HarvardPrivilege #SeizeTheEndowments,,
13,"Rep. Ben McAdams, recovering from coronavirus in hospital, says he sometimes needs 'supplemental oxygen' - https://e-news.us/rep-ben-mcadams-recovering-from-coronavirus-in-hospital-says-he-sometimes-needs-supplemental-oxygen/",,
14,Deep-State Fauci ?úpredicts??the Coronavirus pandemic. ,,
15,"""A lasting coronavirus vaccine is more likely since the virus is mutating slowly, scientists say"" ",,
16,"coronavirus has made one thing clear without writers, actors aren't that interesting",,
17,"I understand times are difficult. We have options available for customers experiencing hardships, including impacts from the Coronavirus Disease [COVID-19] customers can contact us to discuss options available at 1-800-219-9739. -Aud",,
18,"It should be an unwritten protocol that using its name: COVID-19 or Coronavirus is cool &amp;/or universally accepted, but using place/nick names is uncool b/c the user willfully chooses to disregard the sensitivities of people rather than respect them.",,
19,Calif. marijuana sales surge amid #coronavirus business closures ,,
20,"The Trump administration is set to use the Defense Production Act for the first time in the coronavirus pandemic for about 60,000 coronavirus test kits, as health workers face severe shortages https://www.wsj.com/articles/administration-to-use-defense-production-act-for-first-time-in-coronavirus-pandemic-11585058618 via @WSJ",,
21,Hey @SRuhle ....If you have to file a federal income form to receive the check from the coronavirus stimulus package where does that leave the people who live on Social Security who no longer pay or file taxes ? @SenateDems and @HouseDemocrats should address this !,,
22,"2/2 Cant imagine @realDonaldTrump volunteering to adopt a hazmat suit, tour a high-risk hospital, and visit patients infected with the deadly coronavirus ??some of whom, almost inevitably, will die.",,
23,All these places getting raises during the corona virus crisis and my job cutting down our hours.... and I work in health care as a medical assistant ?ò≠,,
24,Libya confirms first coronavirus case amid fear over readiness ,,
25,UC Davis Med Center employees infected with coronavirus. Hospital expects ?òmany more??,,
26,"You guys do realize Andy Cohen tested positive for the Corona Virus, right?",,
27,"Hong Kong appeared to have the coronavirus under control, then it let its guard down - CNN ",,
