,Date,Text
0,2020-03-30 21:57:51+00:00,"Do as we say not as we do! Don't put your hand in your mouth before washing your hands, @DominicRaab. #CoronaVirus lives on wood for 4 days &amp; paper for up to 5 days. (WebMD) "
1,2020-03-30 21:18:55+00:00,"All #migrants &amp; #asylumseekers living in #Portugal are to be treated as permanent residents during the #coronavirus crisis, the govt has announced. They will be free to use country’s health service, welfare system, bank accounts, &amp; work &amp; rental contracts "
2,2020-03-30 20:49:07+00:00,"“Coronaviruses, and other virus families, it turns out, have been co-evolving with bats for the entire span of human civilization” - fascinating timeline of the evolution of a coronavirus with analysis on what makes #COVID19 such an “elusive killer.”"
3,2020-03-30 20:46:10+00:00,"The latest The Health, Fitness, Weight control Daily! https://paper.li/f-1539808846?edition_id=7c32e4f0-72c7-11ea-9480-0cc47a0d1605 Thanks to @SysteemKabouter @merelwildschut @AZAlkmaar #nlhealth #icthealth"
4,2020-03-30 20:06:10+00:00,"If, I stay in my house You stay in your house He stays in his house She stays in her house We stay in our respective houses They stay in their respective houses Then corona virus will also go home Let's #StayAtHome"
5,2020-03-30 19:59:46+00:00,Nice to be included in @VanityFair’s list of “Coronavirus Cassandras” w/ @Laurie_Garrett @BillGates &amp; @melindagates (among others). Sadly pandemics are an evolutionary certainty so the silver lining from #COVID19 would be better preparedness for the future
6,2020-03-30 18:49:49+00:00,#lmac OMGGGGGGGGGGGGGGGGGG FUCKING QUEEN ALIX EST LAAAAAAAAAAAAAAAAAAAAAA pic.twitter.com/dy2Bvt1NCB
7,2020-03-30 18:29:28+00:00,"hey guys, my tour will be cancelled bcs of the Corona virus. I’m so sorry for everyone that already bought a ticket, but I don’t want to take any risks. I hope I see you all next year! Stay safe &lt;3 - coby "
8,2020-03-30 18:02:12+00:00,"We need solidarity, not stigma, to support everyone affected by #coronavirus. We are in this together ❤️ "
9,2020-03-30 17:46:44+00:00,This is a prophesy from the legend @Tupac this #coronavirus is not a joke 
10,2020-03-30 16:09:47+00:00,Cooperation is much more needed than competition. Solidarity and support from our partners around the world is welcome. Because solidarity and international cooperation are at the heart of our collective success. #EUSolidarity #COVID19 #coronavirus 
