,Date,Text
0,2020-02-18 07:25:25+00:00,maybe coronavirus can even trigger car sales in China. $tsla $nio
1,2020-02-16 17:25:43+00:00,"Roses are red, Violets are blue. How #Coronavirus is spread, I have no clue..."
2,2020-02-16 12:24:04+00:00,These exhausted Chinese nurses have sore marks on their skin from wearing tight face masks and goggles for 12 hours straight to protect themselves from the deadly virus. These are our heroes! 🙏🏻🙏🏻 to all those who are helping us to fight the #coronavirus 
3,2020-02-16 10:49:47+00:00,Is #Quarantine on a cruise ship really a good idea? Conditions on board are not helpful. Should unprepared crew be exposed to this? Experts Worry About Those Quarantined On Japanese Cruise Ship | #coronavirus Time 
4,2020-02-16 09:21:52+00:00,How did China's state media cover the #coronavirus outbreak and what role are they playing? - Interesting piece by @AJEnglish including @MariaRepnikova @muyixiao @Jane_Li911
5,2020-02-15 21:45:55+00:00,My first time at GigaBerlin today. The site is progressing fast as can be seen in the drone footage of today. For full video and some Berlin experience around it see: https://youtu.be/UyOXP9eigPs (areal footage starts 5:30) Deficated to @realChaoZhou Hope #coronavirus is gone soon! 
6,2020-02-15 13:49:40+00:00,Thanking Foreign Minister & Sate Councellor #WangYi for China 🇨🇳 continued data contribution to the #CTBT #IMS &amp; support on way forward. Expressed sympathy &amp; encouragement in dealing with #coronavirus - #WeAreChina ! @MunSecConf
7,2020-02-15 13:02:41+00:00,Do you know this blog about how to criticise #data &amp; graphs? It’s @junkcharts Check out this example on #coronavirus risk at the @nytimes
8,2020-02-15 10:32:09+00:00,Today’s top tip: man manspreading at you in the bus? Sneeze a lot. Sleazebags move right outta the way for Coronavirus fear
9,2020-02-14 09:50:53+00:00,Chinese dissident Ai Weiwei on coronavirus and the rise of modern China https://www.channel4.com/news/chinese-dissident-ai-weiwei-on-coronavirus-and-the-rise-of-modern-china via @mattfrei
10,2020-02-14 08:40:29+00:00,"#CoronavirusOutbreak: senior US official accuses China of lack of transparency. Casualties reached nearly 1,400, with more than 5,000 new cases reported on Friday, dampening optimism that the virus will soon be contained https://www.theguardian.com/world/2020/feb/14/coronavirus-china-not-being-honest-says-us-as-wartime-measures-widened?CMP=Share_AndroidApp_Tweet #coronavirus #CoronaOutbreak"
11,2020-02-13 14:46:45+00:00,"I checked just to be sure: over the last few days, @guardian headlines have been about the coronavirus. Very little attention paid to reporting #Windrush deportations. 17 Ppl who have served their prison time. Lived most of their lives in the UK. Labelled “illegal immigrants“."
12,2020-02-13 12:22:30+00:00,#coronavirus can't stop people having fun 
13,2020-02-13 11:54:15+00:00,I found this article from @pcmahq helpful in terms of how to prepare for potential event situations. Is it force majeure? https://www.pcma.org/coronavirus-business-events-industry-preparation/ #eventprofs #coronavirus #beprepared
14,2020-02-13 08:25:07+00:00,Homeward bound - Corona virus or no Corona Virus #coranovirus #Englandhereicome
15,2020-02-13 07:01:03+00:00,Coronavirus: China purges regional leaders hours after spike in deaths and new cases. The number of deaths and infections caused by the #coronavirus in China has risen dramatically to 15 000 after authorities changed the way they calculate the figures 
16,2020-02-13 06:37:33+00:00,"While the @ECDC_EU deems the risk of #coronavirus to citizens as “low”, EU health ministers are holding a special meeting to coordinate a European response. MEPs want them to be ambitious. @Esther_de_Lange @Miriamdalli @euronews @rosiewright99"
17,2020-02-12 13:49:40+00:00,Looks like chinese companies struggle getting their people abroad... I am really curious how this coronavirus thing will affect all that business with China. 🤭 
