,Date,Text
0,2020-03-29 05:25:24+00:00,the moment we need a bullet in the damn fucking head #corona #COVID19 #korea #shincheonji #bitch #crazy #코로나 #신천지 #대구 #확진자 #미친년 pic.twitter.com/zKa4y4nyTh
1,2020-03-29 03:14:21+00:00,The youngest person to die in Corona was a 17-year-old 'Korean' boy..😭
2,2020-03-29 02:53:21+00:00,[Health TALK] 70% alcohol and household lacx dilution recommended for corona indoor disinfection
3,2020-03-29 02:48:54+00:00,To stop corona medic infection ... “Minimize the medical staff of the operating room and reduce the circulation”
4,2020-03-29 02:47:48+00:00,"The number of corona confirmed increased by 95, and the total number of 9583 was ..."
5,2020-03-29 02:23:42+00:00,FDA approval for emergency use of Corona 5-minute screening kit
6,2020-03-26 07:17:29+00:00,"Because schools are shut down, I’m doing 1-on-1 phone calls with my students. Today, I talked with 12 students in 2 hours 😖 it’s hard, but one of my students said “teacher, 코로나 조심 하세요” (be careful of corona) and I just 😭 I love them so much!"
7,2020-03-26 04:58:24+00:00,The government is considering taking legal actions against the woman.
8,2020-03-25 14:22:47+00:00,"“My headache was killing me,” 83-yr-old Park recollected on her battle with #Covid19. Initially she had no fever, no cough. She is cured after 2-wk treatment. But she said she prayed to God that she would die bc she felt such deep guilt over the pain 1/"
9,2020-03-25 10:49:06+00:00,찰스 왕세자 코로나 양성 When you're 70 years of age. And your mum won't leave the stage. It's good to know that you're still prince of Wales. But i suppose now is the time old chap ;-) 
10,2020-03-25 06:28:47+00:00,Enjoyed this @MOFAkr_Eng video featuring U.S. Fulbright Scholar ‘Abi’ &amp; local celeb. ‘Tyler’ who shared their experiences here in South Korea during #COVID19. https://youtu.be/SAsnGRT_crk #WeAreInThisTogether #ThankYouROK
11,2020-03-30 21:29:21+00:00,"관악구, 청년 소상공인과 함께하는 코로나19 극복“행복 나눔 도시락 지원 사업”추진 - 코로나19 피해 극복 위해 청년 소상공인 및 취약계층 긴급 지원 , 관악구가 코로나19로 어려움을 겪고 있는 청년 소상공인과 사회취약계층에 대한 지원에 나선다. 구는 코로나19 장기화에 따른 매출 김영만기자 pic.twitter.com/P5WorydxBN"
12,2020-03-30 08:17:55+00:00,#RT_부탁드립니다 냠냠님을 찾습니다! 개인톡달라고하시고 나가버려서 찾을수가 없어요 마찬가지로 코로나때문에 팀코일정에관해 공지+투표중이니 보시면 디엠이나 제오픈톡으로 와주세요 
13,2020-03-30 00:18:46+00:00,의료진이 지쳐가고 있습니다.
14,2020-03-29 11:00:42+00:00,"Almost half of single parents in Korea who took part in the survey said they’re experiencing financial hardship, incl job loss, due to #Covid19."
15,2020-03-29 02:15:13+00:00,"한강공원 근황 지난 주 편의점 닫음. 이번 주 천막치고 실외에서 편의점 영업 재개. 라면 먹겠다고 과자사겠다고 사람 바글바글 밀집해 있는 거 봐 에고, 다들 코로나 위기 끝났다고 생각하나봐 ㅜㅜ pic.twitter.com/6T171G5cVP"
16,2020-03-28 01:12:47+00:00,"구청에서 코로나자가격리 대상자 구호생필품을 보내왔습니다. 별 기대안했는데 삼다수와 임금님표 이천쌀, 마스크와 의료용 쓰레기봉투까지. 구민 눈높이에 맞춘 선진행정에 박수를 보냅니다. 우리나라 좋은나라! #코로나 #자가격리"
17,2020-03-26 13:21:07+00:00,일본에선 코로나로 노인들이 사라지면 국가가 좋아진다에 7만의 좋아요가 달림. 반면 미국에선 만약 코로나 바이러스가 젊은 사람들의 사망률이 더 높았다면 우리 부모님과 조부모님들은 어떻게든 우리를 지키려 했을 것이라는 글에 좋아요가 달리고 있음. 아직도 일본이 대단히 보이나? pic.twitter.com/9FDkhTJbAv
18,2020-03-26 11:15:07+00:00,코로나 전국확산중에 교주 이만희 전국적으로 추수꾼들 침투하라 지시 대한민국 코로나 걷잡을수 없을 정도로 퍼져 니들이 전국민 감염시킨게 맞네 
19,2020-03-26 01:54:54+00:00,"질병관리본부는 26일 “전남, 전남지역에서 올해 첫번째로 일본뇌염 매개 모기인 ‘작은빨간집모기’가 채집됨에 따라 전국에 일본뇌염 주의보를 발령한다”고 밝혔다. 올해 주의보는 지난해에 비해 2주 가량 앞당겨졌다. https://news.khan.kr/qgGK"
