,Date,Text
0,2020-03-30 22:17:00+00:00,"Here is a @nytimes video on how Spain's health workers are bravely fighting #COVID19, often without adequate protection in saturated hospitals. As they tell it, this can require the ingenuity of MacGyver combined with the spirit of the Kamikaze."
1,2020-03-30 21:18:42+00:00,Ok but hear me out
2,2020-03-30 20:36:40+00:00,"What could eventually be the COVID'S impact on the #US? News doesn't look bright and shiny: ""...we can’t rely on an employer-by-#employerapproach. For this reason, #policymakers at all levels must act to support and provide stabili…https://lnkd.in/eN49Bvz"
3,2020-03-30 19:46:52+00:00,I Rule the World #coronavirus #coronaious
4,2020-03-30 17:44:35+00:00,We mention @chadmartin361 to share another video of CORONAVIRUS CHALLENGE SURVIVORS. Here he is trying to train at home having fun with his doggy! 😂 This is what happen when you do more exercise than your doggy. Esto… https://www.instagram.com/p/B-XdoQaoNLr/?igshid=442yyw7vu5ji
5,2020-03-30 15:09:38+00:00,"If anyone else is getting sick of hearing about the corona virus, there’s an option to mute words from your timeline! I just don’t want to let it consume me... May help someone else so here’s it ❤️ "
6,2020-03-30 14:31:17+00:00,8 sex offenders release in #NY #Cuomo #SafetyLastinNY https://www.breitbart.com/politics/2020/03/29/coronavirus-jailbreak-eight-freed-cuomo-ny/
7,2020-03-30 12:57:46+00:00,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin in will share practical advice for #WFH working from home companies . Join the Think Leadership Livestream on 3/31 at 1pm ET (7pm hora local):
8,2020-03-30 12:48:13+00:00,💡Stress-testing a company’s ability to weather various scenarios is critical to stock selection. Balance-sheet strength and cash-flow continuity are two key indicators that can help identify companies that can survive.🔑 🔗#investing #RankiaPro 🖇️
9,2020-03-30 11:00:05+00:00,How to Facilitate E-Learning with #LanSchool Air. https://lnkd.in/e5VxZKk #WeAreLenovo
10,2020-03-30 09:39:51+00:00,"The enormous differences between Covid-19 fatality rates in different countries raise questions about how countries are tracking their own coronavirus outbreaks, with epidemiology experts warning that governments aren’t counting deaths properly "
11,2020-03-30 09:00:18+00:00,Coronavirus (#COVID-19) has introduced many new terms to our vocabulary. Check out this glossary with 21 terms to know. 👇
12,2020-03-30 07:50:19+00:00,"'Sustainable investing will get a big boost from the coronavirus', according to deVere boss @nigeljgreen https://bit.ly/2QVBhhQ @FAmagazine #coronavirus #investing @deveregroup"
13,2020-03-30 07:14:10+00:00,"The Spanish government announced on Saturday the halt of all non-essential activities in a bid to slow the spread of the coronavirus. Here is a list of questions and answers about the new rules, which will go into effect from today "
