,Date,Text
0,2020-02-17 16:45:25+00:00,"Ho starnutito sul telefono, scusate!!! Ps non sono infetta è allergia !!!#coronavirus"
1,2020-02-16 17:45:40+00:00,"Questa notizia è stata data con poca rilevanza, come se fosse più importante l'aggiornamento continuo fornito circa il Corona Virus. Va bene tutto, ma ci stanno facendo una vicenda sproporzionata sopra: in Italia non è morto alcuno per il virus, ma quanti femminicidi avvengono?"
2,2020-02-16 16:12:30+00:00,"Alors @agnesbuzyn , l’épidémie du coronavirus s’est arrêtée depuis 2 jours ? La crise des hôpitaux est réglée ? Vous nous en voyez ravis ! "
3,2020-02-16 09:21:52+00:00,How did China's state media cover the #coronavirus outbreak and what role are they playing? - Interesting piece by @AJEnglish including @MariaRepnikova @muyixiao @Jane_Li911
4,2020-02-15 17:07:17+00:00,"Check out this article: Coronavirus, la World Evangelical Alliance chiede preghiere per i malati - "
5,2020-02-15 10:15:09+00:00,⛔EMERGENZA CORONAVIRUS⛔: L’IMPATTO SULL'ECONOMIA E SULLE IMPRESE Una breve indagine online per valutare l’impatto economico dell’emergenza #coronavirus e sapere quali possono essere gli interventi utili per le imprese. ✅ CLICCA QUI PER RISPONDERE: 
6,2020-02-15 08:46:49+00:00,"Coronavirus: Beijing orders two-week quarantine for returnees as death toll passes 1,500. People returning to the city from holidays have to quarantine themselves for 14 days to try to contain the coronavirus spread https://www.theguardian.com/world/2020/feb/15/coronavirus-cases-pass-66000-as-beijing-orders-14-day-quarantine-for-returnees?CMP=Share_AndroidApp_Tweet #coronavirus #CoronaOutbreak #Epidemic"
7,2020-02-14 20:07:44+00:00,Important step to stop the spread of #fakenews about the #coronavirus. Please also discuss #immunization misinformation while you are at it!
8,2020-02-14 13:18:53+00:00,It would seem that the Corona virus is the least of our worries here... @Top of Gornergrat 3112m/10310ft https://www.instagram.com/p/B8jHf6ll-U1/?igshid=1axsjloj0bf0q
9,2020-02-14 12:44:44+00:00,Algunas personas piensan que el #CoronaVirus tiene que ver con la #CervezaCorona 🤦🏻‍♂️ El nivel de ignorancia es preocupante
10,2020-02-14 05:00:56+00:00,#Gold steadies near one-week high as #Coronavirus stalls stock markets. Do you think trend will continue? 
11,2020-02-13 12:58:06+00:00,"BREAKING: Washington Doctors SUCCESSFULLY Treat Coronavirus Patient with Experimental Anti-viral Medication -- ""Significantly"" Improved in Hours (VIDEO) https://www.thegatewaypundit.com/2020/02/breaking-washington-doctors-successfully-treat-coronavirus-patient-with-experimental-anti-viral-medication-significantly-improved-in-hours-video/ Download Now https://opr.as/share"
12,2020-02-12 19:10:10+00:00,BREAKING -> Mobile World Congress in Barcelona cancelled by @GSMA over #coronavirus 
13,2020-02-12 17:19:17+00:00,Racism on the airline KLM. Corona virus potential carriers? #KLM #KLMracism
14,2020-02-12 07:27:37+00:00,"Weiss man schon, ob und ggf. wie sich das #coronavirus auf den Verkauf von Corona-Bier auswirkt? 🤔 interessiert mich wirklich."
15,2020-02-12 06:05:09+00:00,[News : #CoronavirusChina] --&gt; Reports from China raised the possibility of so-called vertical transmission of this novel coronavirus passing from mothers to infants during pregnancy. https://www.medpagetoday.com/infectiousdisease/publichealth/84803 #China #CoronavirusTransmissionChain
16,2020-02-12 05:38:58+00:00,"@FlySWISS I’m planning a trip to Asia in September but I’m unsure if have to cancle due to the #coronavirus. What is your cancellation policy, how many days before would I have to cancel and what kind of refund could I expect?"
17,2020-02-11 21:31:06+00:00,Que no se nos olvide con lo del coronavirus que la gripe la tenemos entre nosotros 
18,2020-02-11 14:52:28+00:00,"Heute in einer Kinderarzt-Praxis nähe Zürich mitgehört: „Nein ich glaube nicht dass ihr 2 Jähriger das #Coronavirus hat - Es geht nur die Grippe, Windpocken &amp; Magen-Darm um“ 😏 #grippewelle"
19,2020-02-11 11:40:11+00:00,Chinese movie studio upturned its business model due to coronavirus – Western companies take note https://theconversation.com/chinese-movie-studio-upturned-its-business-model-due-to-coronavirus-western-companies-take-note-131167?utm_source=twitter&amp;utm_medium=footertwitterbutton via @ConversationUK
20,2020-02-17 12:59:32+00:00,@lipsandskin wie handhabt #MUC die medizinischen Kontrollen bez. Coronavirus bei den Einreisenden PAX aus dem asiatischen Raum?
21,2020-02-17 12:01:09+00:00,"@repubblica zerbini al servizio del padrone, coronavirus in Africa e a breve in Italia"
22,2020-02-16 23:46:17+00:00,Coronavirus: Geldscheine unter Quarantäne? China ergreift drastische Maßnahme – Ärzte tragen Windeln 
23,2020-02-15 15:17:45+00:00,Dembelé ya tiene suficiente como para que encima le llaméis CORONAVIRUS mdrrrr 😂 
24,2020-02-15 11:39:26+00:00,"Hey ihr Aluhüte, wurde das #CoronaVirus von @GretaThunberg freigesetzt um den internationalen Luftverkehr einzustellen? #GlobalGrounding #StopCoronavirus *rofl*"
