ObservationDate,Country.Region,Confirmed,Deaths,Recovered
02/28/2020, Azerbaijan,1,0,0
03/10/2020,('St. Martin',),2,0,0
02/24/2020,Afghanistan,1,0,0
02/25/2020,Afghanistan,1,0,0
02/26/2020,Afghanistan,1,0,0
02/27/2020,Afghanistan,1,0,0
02/28/2020,Afghanistan,1,0,0
02/29/2020,Afghanistan,1,0,0
03/01/2020,Afghanistan,1,0,0
03/02/2020,Afghanistan,1,0,0
03/03/2020,Afghanistan,1,0,0
03/04/2020,Afghanistan,1,0,0
03/05/2020,Afghanistan,1,0,0
03/06/2020,Afghanistan,1,0,0
03/07/2020,Afghanistan,1,0,0
03/08/2020,Afghanistan,4,0,0
03/09/2020,Afghanistan,4,0,0
03/10/2020,Afghanistan,5,0,0
03/11/2020,Afghanistan,7,0,0
03/12/2020,Afghanistan,7,0,0
03/13/2020,Afghanistan,7,0,0
03/14/2020,Afghanistan,11,0,0
03/15/2020,Afghanistan,16,0,0
03/16/2020,Afghanistan,21,0,1
03/17/2020,Afghanistan,22,0,1
03/18/2020,Afghanistan,22,0,1
03/19/2020,Afghanistan,22,0,1
03/20/2020,Afghanistan,24,0,1
03/21/2020,Afghanistan,24,0,1
03/22/2020,Afghanistan,40,1,1
03/23/2020,Afghanistan,40,1,1
03/09/2020,Albania,2,0,0
03/10/2020,Albania,10,0,0
03/11/2020,Albania,12,1,0
03/12/2020,Albania,23,1,0
03/13/2020,Albania,33,1,0
03/14/2020,Albania,38,1,0
03/15/2020,Albania,42,1,0
03/16/2020,Albania,51,1,0
03/17/2020,Albania,55,1,0
03/18/2020,Albania,59,2,0
03/19/2020,Albania,64,2,0
03/20/2020,Albania,70,2,0
03/21/2020,Albania,76,2,2
03/22/2020,Albania,89,2,2
03/23/2020,Albania,104,4,2
02/25/2020,Algeria,1,0,0
02/26/2020,Algeria,1,0,0
02/27/2020,Algeria,1,0,0
02/28/2020,Algeria,1,0,0
02/29/2020,Algeria,1,0,0
03/01/2020,Algeria,1,0,0
03/02/2020,Algeria,3,0,0
03/03/2020,Algeria,5,0,0
03/04/2020,Algeria,12,0,0
03/05/2020,Algeria,12,0,0
03/06/2020,Algeria,17,0,0
03/07/2020,Algeria,17,0,0
03/08/2020,Algeria,19,0,0
03/09/2020,Algeria,20,0,0
03/10/2020,Algeria,20,0,0
03/11/2020,Algeria,20,0,0
03/12/2020,Algeria,24,1,8
03/13/2020,Algeria,26,2,8
03/14/2020,Algeria,37,3,12
03/15/2020,Algeria,48,4,12
03/16/2020,Algeria,54,4,12
03/17/2020,Algeria,60,4,12
03/18/2020,Algeria,74,7,12
03/19/2020,Algeria,87,9,32
03/20/2020,Algeria,90,11,32
03/21/2020,Algeria,139,15,32
03/22/2020,Algeria,201,17,65
03/23/2020,Algeria,230,17,65
03/02/2020,Andorra,1,0,0
03/03/2020,Andorra,1,0,0
03/04/2020,Andorra,1,0,0
03/05/2020,Andorra,1,0,0
03/06/2020,Andorra,1,0,0
03/07/2020,Andorra,1,0,0
03/08/2020,Andorra,1,0,0
03/09/2020,Andorra,1,0,0
03/10/2020,Andorra,1,0,0
03/11/2020,Andorra,1,0,0
03/12/2020,Andorra,1,0,1
03/13/2020,Andorra,1,0,0
03/14/2020,Andorra,1,0,1
03/15/2020,Andorra,1,0,1
03/16/2020,Andorra,2,0,1
03/17/2020,Andorra,39,0,1
03/18/2020,Andorra,39,0,1
03/19/2020,Andorra,53,0,1
03/20/2020,Andorra,75,0,1
03/21/2020,Andorra,88,0,1
03/22/2020,Andorra,113,1,1
03/23/2020,Andorra,133,1,1
03/20/2020,Angola,1,0,0
03/21/2020,Angola,2,0,0
03/22/2020,Angola,2,0,0
03/23/2020,Angola,3,0,0
03/13/2020,Antigua and Barbuda,1,0,0
03/14/2020,Antigua and Barbuda,1,0,0
03/15/2020,Antigua and Barbuda,1,0,0
03/16/2020,Antigua and Barbuda,1,0,0
03/17/2020,Antigua and Barbuda,1,0,0
03/18/2020,Antigua and Barbuda,1,0,0
03/19/2020,Antigua and Barbuda,1,0,0
03/20/2020,Antigua and Barbuda,1,0,0
03/21/2020,Antigua and Barbuda,1,0,0
03/22/2020,Antigua and Barbuda,1,0,0
03/23/2020,Antigua and Barbuda,3,0,0
03/03/2020,Argentina,1,0,0
03/04/2020,Argentina,1,0,0
03/05/2020,Argentina,1,0,0
03/06/2020,Argentina,2,0,0
03/07/2020,Argentina,8,0,0
03/08/2020,Argentina,12,1,0
03/09/2020,Argentina,12,1,0
03/10/2020,Argentina,17,1,0
03/11/2020,Argentina,19,1,0
03/12/2020,Argentina,19,1,0
03/13/2020,Argentina,31,2,0
03/14/2020,Argentina,34,2,1
03/15/2020,Argentina,45,2,1
03/16/2020,Argentina,56,2,1
03/17/2020,Argentina,68,2,3
03/18/2020,Argentina,79,2,3
03/19/2020,Argentina,97,3,3
03/20/2020,Argentina,128,3,3
03/21/2020,Argentina,158,4,3
03/22/2020,Argentina,225,4,3
03/23/2020,Argentina,266,4,27
03/01/2020,Armenia,1,0,0
03/02/2020,Armenia,1,0,0
03/03/2020,Armenia,1,0,0
03/04/2020,Armenia,1,0,0
03/05/2020,Armenia,1,0,0
03/06/2020,Armenia,1,0,0
03/07/2020,Armenia,1,0,0
03/08/2020,Armenia,1,0,0
03/09/2020,Armenia,1,0,0
03/10/2020,Armenia,1,0,0
03/11/2020,Armenia,1,0,0
03/12/2020,Armenia,4,0,0
03/13/2020,Armenia,8,0,0
03/14/2020,Armenia,18,0,0
03/15/2020,Armenia,26,0,0
03/16/2020,Armenia,52,0,0
03/17/2020,Armenia,78,0,1
03/18/2020,Armenia,84,0,1
03/19/2020,Armenia,115,0,1
03/20/2020,Armenia,136,0,1
03/21/2020,Armenia,160,0,1
03/22/2020,Armenia,194,0,2
03/23/2020,Armenia,235,0,2
03/13/2020,Aruba,2,0,0
03/14/2020,Aruba,2,0,0
03/15/2020,Aruba,2,0,0
03/16/2020,Aruba,2,0,0
03/17/2020,Aruba,3,0,0
03/18/2020,Aruba,4,0,0
03/19/2020,Aruba,4,0,0
01/23/2020,Australia,0,0,0
01/25/2020,Australia,4,0,0
01/26/2020,Australia,4,0,0
01/27/2020,Australia,5,0,0
01/28/2020,Australia,5,0,0
01/29/2020,Australia,5,0,0
01/30/2020,Australia,9,0,2
01/31/2020,Australia,9,0,2
02/01/2020,Australia,12,0,2
02/02/2020,Australia,12,0,2
02/03/2020,Australia,12,0,2
02/04/2020,Australia,13,0,2
02/05/2020,Australia,13,0,2
02/06/2020,Australia,14,0,2
02/07/2020,Australia,15,0,2
02/08/2020,Australia,15,0,2
02/09/2020,Australia,15,0,2
02/10/2020,Australia,15,0,2
02/11/2020,Australia,15,0,2
02/12/2020,Australia,15,0,2
02/13/2020,Australia,15,0,8
02/14/2020,Australia,15,0,8
02/15/2020,Australia,15,0,8
02/16/2020,Australia,15,0,8
02/17/2020,Australia,15,0,10
02/18/2020,Australia,15,0,10
02/19/2020,Australia,15,0,10
02/20/2020,Australia,15,0,10
02/21/2020,Australia,19,0,11
02/22/2020,Australia,22,0,11
02/23/2020,Australia,22,0,11
02/24/2020,Australia,22,0,11
02/25/2020,Australia,22,0,11
02/26/2020,Australia,22,0,11
02/27/2020,Australia,23,0,11
02/28/2020,Australia,23,0,11
02/29/2020,Australia,25,0,11
03/01/2020,Australia,27,1,11
03/02/2020,Australia,30,1,11
03/03/2020,Australia,39,1,11
03/04/2020,Australia,52,2,11
03/05/2020,Australia,55,2,21
03/06/2020,Australia,60,2,21
03/07/2020,Australia,63,2,21
03/08/2020,Australia,76,4,21
03/09/2020,Australia,91,4,21
03/10/2020,Australia,107,3,21
03/11/2020,Australia,128,3,21
03/12/2020,Australia,128,3,21
03/13/2020,Australia,200,3,23
03/14/2020,Australia,250,3,23
03/15/2020,Australia,297,3,23
03/16/2020,Australia,377,3,23
03/17/2020,Australia,452,5,23
03/18/2020,Australia,568,6,23
03/19/2020,Australia,681,6,26
03/20/2020,Australia,791,7,26
03/21/2020,Australia,1071,7,26
03/22/2020,Australia,1314,7,88
03/23/2020,Australia,1682,7,119
02/25/2020,Austria,2,0,0
02/26/2020,Austria,2,0,0
02/27/2020,Austria,3,0,0
02/28/2020,Austria,3,0,0
02/29/2020,Austria,9,0,0
03/01/2020,Austria,14,0,0
03/02/2020,Austria,18,0,0
03/03/2020,Austria,21,0,0
03/04/2020,Austria,29,0,0
03/05/2020,Austria,41,0,0
03/06/2020,Austria,55,0,0
03/07/2020,Austria,79,0,0
03/08/2020,Austria,104,0,0
03/09/2020,Austria,131,0,2
03/10/2020,Austria,182,0,4
03/11/2020,Austria,246,0,4
03/12/2020,Austria,302,1,4
03/13/2020,Austria,504,1,6
03/14/2020,Austria,655,1,6
03/15/2020,Austria,860,1,6
03/16/2020,Austria,1018,3,6
03/17/2020,Austria,1332,3,1
03/18/2020,Austria,1646,4,9
03/19/2020,Austria,2013,6,9
03/20/2020,Austria,2388,6,9
03/21/2020,Austria,2814,8,9
03/22/2020,Austria,3244,16,9
03/23/2020,Austria,4474,21,9
03/01/2020,Azerbaijan,3,0,0
03/02/2020,Azerbaijan,3,0,0
03/03/2020,Azerbaijan,3,0,0
03/04/2020,Azerbaijan,3,0,0
03/05/2020,Azerbaijan,6,0,0
03/06/2020,Azerbaijan,6,0,0
03/07/2020,Azerbaijan,9,0,0
03/08/2020,Azerbaijan,9,0,0
03/09/2020,Azerbaijan,9,0,0
03/10/2020,Azerbaijan,11,0,0
03/11/2020,Azerbaijan,11,0,3
03/12/2020,Azerbaijan,11,0,3
03/13/2020,Azerbaijan,15,1,3
03/14/2020,Azerbaijan,15,1,3
03/15/2020,Azerbaijan,23,1,6
03/16/2020,Azerbaijan,15,1,6
03/17/2020,Azerbaijan,28,1,6
03/18/2020,Azerbaijan,28,1,6
03/19/2020,Azerbaijan,44,1,6
03/20/2020,Azerbaijan,44,1,6
03/21/2020,Azerbaijan,53,1,11
03/22/2020,Azerbaijan,65,1,10
03/23/2020,Azerbaijan,72,1,10
03/23/2020,Bahamas,4,0,0
03/19/2020,Bahamas, The,3,0,0
03/20/2020,Bahamas, The,3,0,0
03/21/2020,Bahamas, The,4,0,0
03/22/2020,Bahamas, The,4,0,0
02/24/2020,Bahrain,1,0,0
02/25/2020,Bahrain,23,0,0
02/26/2020,Bahrain,33,0,0
02/27/2020,Bahrain,33,0,0
02/28/2020,Bahrain,36,0,0
02/29/2020,Bahrain,41,0,0
03/01/2020,Bahrain,47,0,0
03/02/2020,Bahrain,49,0,0
03/03/2020,Bahrain,49,0,0
03/04/2020,Bahrain,52,0,0
03/05/2020,Bahrain,55,0,0
03/06/2020,Bahrain,60,0,4
03/07/2020,Bahrain,85,0,4
03/08/2020,Bahrain,85,0,4
03/09/2020,Bahrain,95,0,14
03/10/2020,Bahrain,110,0,22
03/11/2020,Bahrain,195,0,35
03/12/2020,Bahrain,195,0,35
03/13/2020,Bahrain,189,0,44
03/14/2020,Bahrain,210,0,44
03/15/2020,Bahrain,214,0,60
03/16/2020,Bahrain,214,1,77
03/17/2020,Bahrain,228,1,81
