date,text,sentiment,subjectivity,polarity
2020-03-24 22:49:50,"Why are advanced economies like USA, UK and Australia dealing with #coronavirus so badly? Is it connected to the fact that the dominant ideology in these countries has for decades been one based on Ayn-Rand-selfish-individualism and a contempt for the millions who are not rich?","Sentiment(polarity=-0.16249999999999995, subjectivity=0.6722222222222222)",0.6722222222222222,-0.16249999999999995
2020-03-24 21:54:58,Mobile phone operators in Germany show a #stayhome message when users switch off WiFi #coronavirus ht Jannis Korner ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 20:57:40,Tonight we are launching our new #Covid19 information dashboard. A chance to see the latest information on the virus in Ireland. Will be updated every day #coronavirus https://www.gov.ie/en/service/0039bc-view-the-covid-19-coronavirus-dashboard-showing-the-latest-stats-and/?referrer=/covid19dashboard/,"Sentiment(polarity=0.3181818181818182, subjectivity=0.6772727272727272)",0.6772727272727272,0.3181818181818182
2020-03-24 20:49:36,"Thank you to the 11,788 former NHS staff who have answered the call to support the health service as it responds to #coronavirus. Now people must stay at home to support you, so that you can be there to support us in our hour of need. #StayHomeSaveLives","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 20:14:43,An Italian priest who contracted #coronavirus has died after donating his respirator to a younger patient who was also battling the illness ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2020-03-24 19:41:38,"To help the NHS fight #coronavirus we're: Recruiting 250,000 volunteers to help support vulnerable people Bringing in 35,000 more NHS staff (new and returning) Opening NHS Nightingale, a new temporary hospital in London @MattHancock explains: pic.twitter.com/C4swBo6vpm","Sentiment(polarity=0.06818181818181818, subjectivity=0.4772727272727273)",0.4772727272727273,0.06818181818181818
2020-03-24 19:00:20,"At 6am this morning soldiers arrived at St Thomas’ Hospital in London and delivered over 50,000 face masks. #coronavirus #InThisTogether Read more about the COVID Support Force here: http://ow.ly/EFst50yUuw9","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
2020-03-24 18:54:07,Brilliant #coronavirus #IWillSurvive,"Sentiment(polarity=0.9, subjectivity=1.0)",1.0,0.9
2020-03-24 18:43:08,"First bike ride today ... saw TWO magpies thought that was good luck, well it turned from 0-shit real quick. #coronavirus pic.twitter.com/aHJKttlway","Sentiment(polarity=0.48333333333333334, subjectivity=0.5611111111111111)",0.5611111111111111,0.48333333333333334
2020-03-24 16:57:04,"If you're fit and healthy, #YourNHSNeedsYou. Working with @GoodSamApp, we've launched NHS Volunteer Responders which means you can now help the most vulnerable people in your community who need to stay home because of #coronavirus. https://www.england.nhs.uk/2020/03/your-nhs-needs-you-nhs-call-for-volunteer-army/","Sentiment(polarity=0.22499999999999998, subjectivity=0.475)",0.475,0.22499999999999998
