date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:56:06,JackPosobiec,ODNIgov,328,1157,5907,"Twitter said it would ban accounts that spread misinformation about coronavirus",,,,1248399318228164609,https://twitter.com/JackPosobiec/status/1248399318228164609
2020-04-09 23:52:24,NatashaBertrand,,10,197,298,"New: ODNI issues new guidance for intelligence community contractors amid complaints of inconsistent rules and unsafe working conditions, including overcrowding and inadequate hygiene practices in offices where someone has tested positive. W/ @dlippman",,@dlippman,,1248398388615188481,https://twitter.com/NatashaBertrand/status/1248398388615188481
2020-04-09 23:37:47,BernardKerik,,44,520,1261,"We cannot operate out of hysteria and we have to talk more about the fact that 98% of the people that get the #coronavirus, get through it. -@SecretaryCarson",,@SecretaryCarson,#coronavirus,1248394709493362690,https://twitter.com/BernardKerik/status/1248394709493362690
2020-04-09 23:31:52,DrTomFrieden,,8,118,233,"Astonishing progress understanding #COVID in 1 month. In @CNNOpinion, I updated my 19 key questions with latest data. Read it at @CNN https://cnn.it/2JVOi73 #publichealth",,@CNNOpinion @CNN,#COVID #publichealth,1248393219227783168,https://twitter.com/DrTomFrieden/status/1248393219227783168
2020-04-09 23:30:00,AmyMcGrathKY,,116,1483,4072,"This makes no sense. We need to be expanding COVID-19 testing, not cutting it. We all want to get back to normal, but health experts say we can’t do that until we have robust and accurate testing available. Let’s listen to them.",,,,1248392750187364353,https://twitter.com/AmyMcGrathKY/status/1248392750187364353
2020-04-09 23:14:55,DrGJackBrown,,158,1547,5365,"What the Hell are Karen Pence and Ivanka Trump doing on a conference call with Mental Health Professionals? They were not elected and have zero expertise in this area. Stop gaslighting us. #Coronavirus #COVID19 #25thAmendmentNow",,,#Coronavirus #COVID19 #25thAmendmentNow,1248388956481191936,https://twitter.com/DrGJackBrown/status/1248388956481191936
2020-04-09 23:11:31,DrGJackBrown,,21,406,744,"At the present rate that the US government is providing testing for #COVID19 (an amount which Trump and Pence are bragging profusely), it would take 3,305 days to test every American — that's 9 years 20 days. Resign, Trump. #Coronavirus #25theAmendmentNow",,,#COVID19 #Coronavirus #25theAmendmentNow,1248388100381761541,https://twitter.com/DrGJackBrown/status/1248388100381761541
2020-04-09 23:10:54,SidneyPowell1,LouDobbs,119,2438,3267,"Very important. Please listen! @mikepillsbury @GordonGChang #China is lying and has long refused access for inspection of their lab. Four #Chinese generals have written books on biological warfare. @realDonaldTrump @RepRatcliffe #coronavirus #ChineseVirus @DrMartyFox",,@mikepillsbury @GordonGChang @realDonaldTrump @RepRatcliffe @DrMartyFox,#China #Chinese #coronavirus #ChineseVirus,1248387945859395585,https://twitter.com/SidneyPowell1/status/1248387945859395585
2020-04-09 23:04:22,Jan_Ransom,,23,343,414,"NEW: Jailed at #RikersIsland on a minor parole violation, he caught the #coronavirus and died: ",,,#RikersIsland #coronavirus,1248386301021175815,https://twitter.com/Jan_Ransom/status/1248386301021175815
2020-04-09 23:04:07,thehill,,243,72,101,"Bill O'Reilly: Many of those dying from coronavirus ""were on their last legs anyway"" http://hill.cm/CX0Cji5",,,,1248386237968203781,https://twitter.com/thehill/status/1248386237968203781
