date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:34:31,dwnews,,6,177,168,"The speed of the #coronavirus outbreak has left corpses uncollected in homes and on the streets of Ecuador. ",,,#coronavirus,1248393887044915204,https://twitter.com/dwnews/status/1248393887044915204
2020-04-09 22:36:30,Ruptly,,0,49,94,"Neighbours applaud 100-yr/old woman following her recovery from #coronavirus #Spain",,,#coronavirus #Spain,1248379287809323013,https://twitter.com/Ruptly/status/1248379287809323013
2020-04-09 21:30:45,euronews,,2,45,70,"EU member states have agreed to an emergency response plan of €500 billion to limit the impact of the #coronavirus pandemic on the European economy. ",,,#coronavirus,1248362739300532230,https://twitter.com/euronews/status/1248362739300532230
2020-04-09 21:28:42,Lagarde,,149,341,1406,"Europe stands together in the fight against coronavirus. I am heartened to see #Eurogroup finance ministers reach an innovative deal.",,,#Eurogroup,1248362223472447488,https://twitter.com/Lagarde/status/1248362223472447488
2020-04-09 19:30:40,euronews,,21,176,342,"The EU has identified 'pro-Kremlin sources' as the architects of #COVID19 #disinformation, says Věra Jourová, EU Commission vice-president for values and transparency, in an exclusive interview with Euronews. #Globalconversation",,,#COVID19 #disinformation #Globalconversation,1248332519491149828,https://twitter.com/euronews/status/1248332519491149828
2020-04-09 17:01:31,nicktolhurst,,446,3368,4911,"The UK Home Office has just updated its advice to “low skilled” low paid workers including those in the caring and medical professions... ...they will have to leave after the Coronavirus pandemic is over. This country has to change. It just has to. ",,,,1248294987529367553,https://twitter.com/nicktolhurst/status/1248294987529367553
2020-04-09 16:49:31,bharti7_richa,,0,0,2,"Music and good vibes always help! Neighbor cheering up during difficult times of coronavirus lockdown #CoronaLockdown #coronadeutschland",,,#CoronaLockdown #coronadeutschland,1248291964333838336,https://twitter.com/bharti7_richa/status/1248291964333838336
2020-04-09 15:48:33,AP_Europe,,4,71,226,"VIDEO: This is Ada Zanusso, the 103-year-old Italian woman who survived the coronavirus. Full story: http://apne.ws/pa2w1kU",,,,1248276621762736129,https://twitter.com/AP_Europe/status/1248276621762736129
2020-04-09 14:17:06,SeppausBaL,,1,7,6,"The new IgG / IgM rapid test device Coronavirus (COVID-19)! Protect yourself and others by ordering the new IgG / IgM rapid test device Coronavirus (COVID-19) now. Save € 15 when you buy your first Corona Test Kit in April. Code: staysave https://bit.ly/2xO3tfy",,,,1248253609101398016,https://twitter.com/SeppausBaL/status/1248253609101398016
2020-04-09 13:21:21,ngobhavishya,,0,1,4,"Coronavirus Impact on Craftsmen and Weavers https://shilp-world.de/coronavirus-impact-on-craftsmen-and-weavers/",,,,1248239580022800384,https://twitter.com/ngobhavishya/status/1248239580022800384
2020-04-09 13:20:52,euronews,,16,373,984,"Colombian policemen give Zumba fitness classes to entertain residents stuck at home over #coronavirus fears. http://Euronews.com",,,#coronavirus,1248239455485517826,https://twitter.com/euronews/status/1248239455485517826
2020-04-09 13:17:32,redfishstream,,9,180,466,"Meet the Original Black Panthers of Milwaukee, a group that self-organizes Black communities now dealing with the #coronavirus pandemic. As the pandemic is hitting Black people in the United States, in Milwaukee the group provides food aid and other relief supplies for the poor. ",,,#coronavirus,1248238618214305792,https://twitter.com/redfishstream/status/1248238618214305792
2020-04-09 08:47:37,Abbas96922857,,0,5,9,"90% of non-native women active in the sex industries of south-eastern Europe have been trafficked, with most being brought from the poorer eastern countries to the richer. If this isn’t human rights violation then what it is? #ThePromisedSaviour #coronavirus",,,#ThePromisedSaviour #coronavirus,1248170690697662464,https://twitter.com/Abbas96922857/status/1248170690697662464
2020-04-09 02:03:33,dwnews,,4,68,252,"Feeling the onset of cabin fever during #coronavirus lockdowns? Here's a virtual tour of Bonn's cherry blossoms to bring some much-needed cheer ",,,#coronavirus,1248069004414971904,https://twitter.com/dwnews/status/1248069004414971904
2020-04-08 17:40:00,dw_politics,,8,43,109," OPINION: Angela Merkel and Queen Elizabeth II show what citizens currently need from their leaders, writes DW’s chief political correspondent Melinda Crane.",,,,1247942281757200386,https://twitter.com/dw_politics/status/1247942281757200386
2020-04-08 15:47:31,zartoz,,0,0,0,"Hi @EUHomeAffairs @Place_Beauvau @BMI_Bund @foreignoffice @Justitiedep @ministerieJenV thousands of refugees are at risk of #COVID19 on Greek islands due to crowded unsanitary conditions. Will you act now to #LeaveNoOneBehind and save lives? ",,@EUHomeAffairs @Place_Beauvau @BMI_Bund @foreignoffice @Justitiedep @ministerieJenV,#COVID19 #LeaveNoOneBehind,1247913974395555846,https://twitter.com/zartoz/status/1247913974395555846
2020-04-08 15:30:15,3BodyProblem,,0,9,7,"2.6 billion people are currently under lockdown. Via @wef #Coronavirus #COVID19",,@wef,#Coronavirus #COVID19,1247909630937882625,https://twitter.com/3BodyProblem/status/1247909630937882625
2020-04-08 14:13:50,DougSaunders,SanhoTree,126,789,1166,"The White House was briefed about the dangers of the new coronavirus hitting the United States in NOVEMBER. The president’s staff wrote him about the need for domestic measures in JANUARY. Many Americans are in huge trouble because he did nothing at all until well into March ",,,,1247890399118503936,https://twitter.com/DougSaunders/status/1247890399118503936
2020-04-08 13:43:06,niktwick,,5,7,18,"Russian Twitter is going beserk after Putin said Russia will beat coronavirus becaue it alredy beat the Pechenegs and Polovtsy ",,,,1247882666898116608,https://twitter.com/niktwick/status/1247882666898116608
2020-04-08 13:40:56,NavigateProject,,0,2,4,"#Coronavirus #FakeNews: How Facebook, Twitter, And Instagram Are Tackling The Problem via @forbes",,@Forbes,#Coronavirus #FakeNews,1247882120002809866,https://twitter.com/NavigateProject/status/1247882120002809866
2020-04-09 23:57:50,worldonalert,,1,19,28,"Coronavirus in the US: - 466,969 confirmed cases - 16,636 confirmed deaths - 31,939 new cases today - 1,845 new deaths today - 10,011 critical cases",,,,1248399756587499525,https://twitter.com/worldonalert/status/1248399756587499525
2020-04-09 19:53:29,Schuldensuehner,,2,31,66,"Dire economic numbers intensify debate over lifting coronavirus restrictions. White House is planning to unveil a second task force that will focus on reopening economy, though president’s advisers differ on how quickly to move. https://www.wsj.com/articles/dire-economic-numbers-intensify-debate-over-lifting-coronavirus-restrictions-11586459653",,,,1248338261031956486,https://twitter.com/Schuldensuehner/status/1248338261031956486
2020-04-09 17:51:04,Paul_Imanuelsen,,128,219,520,"The Coronavirus in Sweden today. - 721 new cases - 112 new deaths The Coronavirus in Norway today. - 144 new cases - 7 new deaths What is it that Norway does that Sweden doesn't? ",,,,1248307455353860097,https://twitter.com/Paul_Imanuelsen/status/1248307455353860097
2020-04-09 17:15:48,dwnews,,31,99,376,"In stark contrast to Donald Trump, Merkel and the Queen know how to communicate during a crisis | 𝐎𝐏𝐈𝐍𝐈𝐎𝐍",,,,1248298580491808768,https://twitter.com/dwnews/status/1248298580491808768
2020-04-09 16:48:30,Dunja_Mijatovic,,2,12,22,"European Parliament opens doors to homeless and vulnerable amid coronavirus crisis ",,,,1248291708091187200,https://twitter.com/Dunja_Mijatovic/status/1248291708091187200
2020-04-09 14:57:15,Gurdur,,6,26,62,"10/ Overall in Germany: ""So far, no transmission of the virus in supermarkets, restaurants or hairdressers has been proven"". #SARSCov2 was detected by PCR on ""remote controls, washbasins, mobile phones, toilets or door handles"" BUT NOT in infectious form.",,,#SARSCov2,1248263715281141760,https://twitter.com/Gurdur/status/1248263715281141760
2020-04-09 13:12:03,nicktolhurst,,73,748,970,"+UPDATE+ The doctor - Dr Chowdhury - that warned Boris Johnson last month, that doctors and medical staff lives were being risked from lack of PPE protective clothing... ...has died from Coronavirus. ",,,,1248237237713633281,https://twitter.com/nicktolhurst/status/1248237237713633281
2020-04-09 12:27:03,Lagarde,,64,253,483,"Coronavirus represents a new form of economic shock that cannot be tackled using the textbooks of the past. In a post on #TheECBBlog, I outline how the @ECB’s policies are designed to reach those most exposed to this crisis https://www.ecb.europa.eu/press/blog/date/2020/html/ecb.blog200409~3aa2815720.en.html?utm_source=cl_twitter&amp;utm_medium=social&amp;utm_campaign=200409_cl_blog (1/3)",,@ecb,#TheECBBlog,1248225913646579712,https://twitter.com/Lagarde/status/1248225913646579712
2020-04-09 11:31:08,europe_creative,,1,11,17,"Our #coronavirus response #1: Culture 1 of 5 sectors qualifying for special state aid scheme Possibility for MS to activate €37 bn Corona Crisis Investment Initiative Artists &amp; creators out of work can benefit from temporary unemployment scheme SURE",,,#coronavirus,1248211842884911105,https://twitter.com/europe_creative/status/1248211842884911105
2020-04-09 10:17:27,Econet1892,,0,0,14,"Today’s isolation . . . My friend the sea. #SelfIsolation #coronavirus ",,,#SelfIsolation #coronavirus,1248193297593577472,https://twitter.com/Econet1892/status/1248193297593577472
