date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:14:43,nicksreimann,,0,0,9,"Fox News ticker’s not holding back. Time to escape the “coronavirus-ridden Earth.” ",,,,1248388904295653379,https://twitter.com/nicksreimann/status/1248388904295653379
2020-04-09 22:48:41,WRicciardi,,2,12,30,"Coronavirus is the greatest global science policy failure in a generation | Richard Horton ",,,,1248382351328985088,https://twitter.com/WRicciardi/status/1248382351328985088
2020-04-09 21:33:31,Teramaners,,0,1,0,"#covid_19 #coronavírus #coronavirus @Italy https://www.instagram.com/p/B-xn0yYJHcY/?igshid=uq3ldbmzwxsr",,,#covid_19 #coronav #coronavirus,1248363435508760576,https://twitter.com/Teramaners/status/1248363435508760576
2020-04-09 21:25:03,alfo_lanzieri,yanisvaroufakis,2,2,5,"Very reassuring tweet for Italians #coronavirus #Eurogroup",,,#coronavirus #Eurogroup,1248361305251209219,https://twitter.com/alfo_lanzieri/status/1248361305251209219
2020-04-09 20:54:09,jason_a_w,,6,41,148,"1. My god give them to food banks stat 2. Our food system is insane 3. If you do see wings at a knock down price they are an excellent basis for chicken stock/broth",,,,1248353529753792512,https://twitter.com/jason_a_w/status/1248353529753792512
2020-04-09 19:54:49,Melaion,,0,0,0,"Freedom = equality #coronavirus teaching #apocalypse2020",,,#coronavirus #apocalypse2020,1248338597024952320,https://twitter.com/Melaion/status/1248338597024952320
2020-04-09 17:55:14,yurateh,,0,0,1,"Ok @vancleefarpels predicted the coronavirus. ",,@vancleefarpels,,1248308503405625349,https://twitter.com/yurateh/status/1248308503405625349
2020-04-09 17:44:07,torschlussp4nik,,0,1,7,"The office as coronavirus pic.twitter.com/ybaYCeI6e8",,,,1248305707339984898,https://twitter.com/torschlussp4nik/status/1248305707339984898
2020-04-09 14:39:45,mub47,,1,2,1,"Hahaha Lock down #coronavirus #COVID19 #Pakistan",,,#coronavirus #COVID19 #Pakistan,1248259307864576001,https://twitter.com/mub47/status/1248259307864576001
2020-04-09 13:17:08,logankenney34,,0,1,30,"Hey all you advanced computer technicians, I need your help!!! Is there a way to keep ‘coronavirus today’ at the top of my search history? Coronavirus is sweeping across our nation and I’d just LOVE to stay updated on it. If anyone can help me out, it’d be greatly appreciated pic.twitter.com/Sh2S70MRyc",,,,1248238520063401985,https://twitter.com/logankenney34/status/1248238520063401985
