date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:19:33,sahagunfelipe,,0,1,2,"Abdul Chowdhury, the latest doctor to die of coronavirus, warned PM Johnson to provide NHS @AJEnglish https://aje.io/9mcp5",,@AJEnglish,,1248390120866058240,https://twitter.com/sahagunfelipe/status/1248390120866058240
2020-04-09 22:35:06,tomselliott,,5,12,29,"Am quoted —> CNN's 'straight news' anchors using coronavirus to 'flaunt their utter disdain' for Trump, critics say https://fxn.ws/3aXD8KL #FoxNews",,,#FoxNews,1248378933533270025,https://twitter.com/tomselliott/status/1248378933533270025
2020-04-09 22:25:49,DavidLpezGantes,,0,1,3,"BREAKING NEWS: Coronavirus cases drop to zero ",,,,1248376599654723584,https://twitter.com/DavidLpezGantes/status/1248376599654723584
2020-04-09 17:43:48,gilestremlett,,1,0,5,"Three-day death rate from Coronavirus pandemic in Spain. Trending down, but still bumpy. ",,,,1248305628445057024,https://twitter.com/gilestremlett/status/1248305628445057024
2020-04-09 17:19:38,flatspotgames,,1,8,17,"The North Yankton Crew been puttin in work for a long time in Los Santos. Now the Custom Plate Kings have got a message for The Corona Virus and Covid-19. #RockstarGames #coronavirus #COVIDー19",,,#RockstarGames #coronavirus #COVID,1248299545961717761,https://twitter.com/flatspotgames/status/1248299545961717761
2020-04-09 17:13:05,DRASCIOGLU,,0,0,6,"Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019. ",,,,1248297898317619200,https://twitter.com/DRASCIOGLU/status/1248297898317619200
2020-04-09 16:56:35,geniotweets,,0,4,2,"#CoronaVirus #COVID19 #QuedateEnCasa New York state's death tally from coronavirus sets record for a third straight day at 799 fatalities – at plaza de castilla de san rafael",,,#CoronaVirus #COVID19 #QuedateEnCasa #QuedateEnCasa,1248293746099326977,https://twitter.com/geniotweets/status/1248293746099326977
2020-04-09 14:25:09,David_rp90,,1,5,7,"There's no way to perfectly predict how the #coronavirus will impact the #globaleconomy in the months and years to come. But we can do our best to size and scale the shock of it. #covid19 #leadership #agilehr #futureofwork #sustainability #talent Link: http://ow.ly/3rSi50z5MYa",,,#coronavirus #globaleconomy #covid19 #leadership #agilehr #futureofwork #sustainability #talent,1248255633947865088,https://twitter.com/David_rp90/status/1248255633947865088
2020-04-09 13:36:32,elpaisinenglish,,8,28,34,"UPDATE: Spanish PM Pedro Sánchez tells Congress that after this extension to the state of alarm ends on April 26, he is ""convinced"" he will have to ask for a further 15 days, pushing the end of the lockdown to May 10.",,,,1248243399087382529,https://twitter.com/elpaisinenglish/status/1248243399087382529
2020-04-09 11:22:40,martinvars,,8,7,12,"We need the Swedish government to test random segment of its population and report on immunity. If they did a lot of the controversy on articles like this would disappear https://www.ecfr.eu/article/commentary_sweden_goes_it_alone_the_eus_coronavirus_exception If you judge a country by number of current deaths and not by % immunized",,,,1248209713411563524,https://twitter.com/martinvars/status/1248209713411563524
2020-04-09 10:40:06,David_rp90,,0,3,3,"#Coronavirus is making the workplace more accessible. The #covid19 is forcing employers to inadvertently accommodate some of the 15% of people around the world who live with a disability. #futureofwork #leadership #agilehr #talent #sustainability Link: http://ow.ly/mlqo50z5Mg8",,,#Coronavirus #covid19 #futureofwork #leadership #agilehr #talent #sustainability,1248199000987250693,https://twitter.com/David_rp90/status/1248199000987250693
