date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:11:38,BBCWorld,,227,197,525,"Coronavirus in South Africa: The lull before the tsunami? ",,,,1248388129502838789,https://twitter.com/BBCWorld/status/1248388129502838789
2020-04-09 23:09:09,BBCNews,,88,52,120,"Coronavirus: Universities warn of going bust without emergency funds ",,,,1248387503318425600,https://twitter.com/BBCNews/status/1248387503318425600
2020-04-09 22:26:05,SkyNews,,345,427,1806,"China has drawn up guidelines to reclassify dogs as pets rather than livestock in a potentially ""game-changing"" response to the #coronavirus outbreak ",,,#coronavirus,1248376665178136577,https://twitter.com/SkyNews/status/1248376665178136577
2020-04-09 20:36:59,SkyNews,,25,544,587,"Doctors in Spain told Sky News that dealing with the #coronavirus crisis was like a natural disaster that wouldn’t end. A hospital in Barcelona has converted seven floors into wards dealing exclusively with patients. Watch @alexrossiSKY's report ",,@alexrossiSKY,#coronavirus,1248349209096527876,https://twitter.com/SkyNews/status/1248349209096527876
2020-04-09 20:11:21,premnsikka,,46,1225,1435,"Hedge funds (speculators) betting on economic collapse are making billions & have money to make it happen, essential workers risk life for pittance. Time to deal with these sharks - withdraw Ltd liability, no bailouts, levy windfall taxes, regulate them.",,,,1248342759674646534,https://twitter.com/premnsikka/status/1248342759674646534
2020-04-09 19:36:27,HackneyAbbott,,166,889,2942,"So has the penny dropped with the Daily Mail? #coronavirus ",,,#coronavirus,1248333975736778752,https://twitter.com/HackneyAbbott/status/1248333975736778752
2020-04-09 19:28:21,DominicRaab,BBCBreaking,313,640,5173," The news we all wanted to hear Thank you to all the NHS staff helping the country and the PM to beat #coronavirus. Together we can all do our bit by staying home and protecting the NHS #StayHomeSaveLives",,,#coronavirus #StayHomeSaveLives,1248331939670523911,https://twitter.com/DominicRaab/status/1248331939670523911
2020-04-09 19:16:39,PeterStefanovi2,,68,1027,1847,"When this crisis is over the value of work must be completely re-evaluated. The country must never forget the courageous men & women who stood on the front line & put themselves in harms way to save us. It won’t have been the billionaires & the bankers https://www.theguardian.com/business/2020/apr/09/hedge-funds-raking-in-billions-during-coronavirus-crisis",,,,1248328994145144834,https://twitter.com/PeterStefanovi2/status/1248328994145144834
2020-04-09 19:09:28,MirrorPolitics,,1260,192,747,"Keir Starmer backs Mirror's campaign to give NHS coronavirus heroes a medal https://www.mirror.co.uk/news/politics/give-nhs-coronavirus-heroes-medal-21843419",,,,1248327183547936777,https://twitter.com/MirrorPolitics/status/1248327183547936777
2020-04-09 19:00:12,BritishArmy,,45,494,1598,"The Pipes and Drums of 1st Battalion The Royal Gurkha Rifles joined the nation in showing their support for frontline workers tackling the coronavirus outbreak. From their barracks in Kent, they joined bagpipers across the country taking part in #PipeUpForKeyWorkers",,,#PipeUpForKeyWorkers,1248324851829440513,https://twitter.com/BritishArmy/status/1248324851829440513
2020-04-09 18:46:47,SkyNews,,145,351,2054,"Coronavirus: Boris Johnson moved out of intensive care but remains in hospital ",,,,1248321477696466945,https://twitter.com/SkyNews/status/1248321477696466945
2020-04-09 18:36:47,DHSCgovuk,,251,726,1225,"As of 9am 9 April, 298,169 tests have concluded, with 16,095 tests on 8 April. 243,421 people have been tested of which 65,077 tested positive. As of 5pm on 8 April, of those hospitalised in the UK who tested positive for coronavirus, 7,978 have sadly died. ",,,,1248318961252544515,https://twitter.com/DHSCgovuk/status/1248318961252544515
2020-04-09 18:33:24,SkyNews,,46,328,1536,"Having lived through the Spanish flu pandemic of 1918 before surviving two world wars, Ada Zanusso tested positive for #coronavirus at age 103 – and her doctors thought her fate was sealed ",,,#coronavirus,1248318110920310784,https://twitter.com/SkyNews/status/1248318110920310784
2020-04-09 18:28:11,Channel4News,,38,383,926,"'We've never been able to eradicate any disease except smallpox.' Professor Devi Sridhar says the world needs 'unprecedented cooperation' to completely wipe out coronavirus from every single country. ",,,,1248316798031794176,https://twitter.com/Channel4News/status/1248316798031794176
2020-04-09 18:14:04,ClarkeMicah,,68,362,988,"Guardian notices that smashing up the economy hurts the poor. Breakthrough :",,,,1248313243858321409,https://twitter.com/ClarkeMicah/status/1248313243858321409
2020-04-09 18:12:08,BBCNews,,269,2202,14670,"A 101-year-old man is discharged from hospital after recovering from coronavirus ",,,,1248312758224945152,https://twitter.com/BBCNews/status/1248312758224945152
2020-04-09 17:57:05,HackneyAbbott,,7,104,368,"A Hackney hero #coronavirusuk",,,#coronavirusuk,1248308971280183296,https://twitter.com/HackneyAbbott/status/1248308971280183296
2020-04-09 17:41:33,CareQualityComm,,1,43,52,"Stay home this #BankHolidayWeekend For yourself, your family and friends. For vulnerable people in your community. For health and care staff. For all key workers working tirelessly and selflessly this weekend to keep people safe.",,,#BankHolidayWeekend,1248305060901240838,https://twitter.com/CareQualityComm/status/1248305060901240838
2020-04-09 17:16:46,jeremycorbyn,,466,3184,11678,"Very much agree with this – the Government should cancel student debt for nurses tackling coronavirus #ClapForOurCarers https://www.mirror.co.uk/news/politics/matt-hancock-faces-calls-cancel-21841081",,,#ClapForOurCarers,1248298823128174592,https://twitter.com/jeremycorbyn/status/1248298823128174592
2020-04-09 23:51:55,BBCNews,,50,191,403,"Coronavirus: Worst economic crisis since 1930s depression, IMF says ",,,,1248398267160743938,https://twitter.com/BBCNews/status/1248398267160743938
2020-04-09 22:38:49,CareQualityComm,,2,37,145,"Thank you to everyone that took part in #ClapForOurCarers Clapping is ace &amp; great recognition of the sacrifices our key workers are making, but we need to follow that up with solid action Don't clap tonight &amp; have a house party tomorrow Stay home, protect the NHS, save lives",,,#ClapForOurCarers,1248379869064355845,https://twitter.com/CareQualityComm/status/1248379869064355845
2020-04-09 21:19:09,SkyNews,,26,209,1056,"Cadbury workers are using chocolate machines to produce visors for medics who are treating #coronavirus patients ",,,#coronavirus,1248359819490271232,https://twitter.com/SkyNews/status/1248359819490271232
2020-04-09 21:14:48,DominicRaab,foreignoffice,157,234,2022,"Thank you to our brave NHS heroes and all of our critical workers for all you are doing to fight #coronavirus. #ClapForOurCarers #ThankYouNHS",,,#coronavirus #ClapForOurCarers #ThankYouNHS,1248358725758472206,https://twitter.com/DominicRaab/status/1248358725758472206
2020-04-09 20:57:51,louisanderson40,,6,56,239,"Boris johnson after beating corona virus in the gulag and spawning back in ",,,,1248354461107585025,https://twitter.com/louisanderson40/status/1248354461107585025
2020-04-09 20:53:54,BelTel,,148,17,17,"NI MPs defend offer of extra £10,000 expenses for working from home #coronavirus #COVID19 https://www.belfasttelegraph.co.uk/news/health/coronavirus/ni-mps-defend-offer-of-extra-10000-expenses-for-working-from-home-39117858.html",,,#coronavirus #COVID19,1248353467891998720,https://twitter.com/BelTel/status/1248353467891998720
