date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-09 23:56:45,SpeakerPelosi,,1246,2010,7229,"Testing is the key to reopening our economy. We must have a clear picture of just how the coronavirus is affecting our communities. @MadMoneyOnCNBC #FamiliesFirst",,@MadMoneyOnCNBC,#FamiliesFirst,1248399484855312395,https://twitter.com/SpeakerPelosi/status/1248399484855312395
2020-04-09 23:56:07,RapUp,,5,92,325,"Rihanna sent a ventilator to her father while he was battling coronavirus https://bit.ly/3e9POQS ",,,,1248399321730408448,https://twitter.com/RapUp/status/1248399321730408448
2020-04-09 23:55:22,nfergus,,18,80,189,"Good piece of applied history from the @WSJ, recalling the 18th-century Habsburg cordon sanitaire. Anyone who believes we shall return any time soon to the pre-COVID-19 near-borderless world is failing to learn from the past:",,@WSJ,,1248399133687205899,https://twitter.com/nfergus/status/1248399133687205899
2020-04-09 23:14:55,DrGJackBrown,,158,1547,5365,"What the Hell are Karen Pence and Ivanka Trump doing on a conference call with Mental Health Professionals? They were not elected and have zero expertise in this area. Stop gaslighting us. #Coronavirus #COVID19 #25thAmendmentNow",,,#Coronavirus #COVID19 #25thAmendmentNow,1248388956481191936,https://twitter.com/DrGJackBrown/status/1248388956481191936
2020-04-09 23:11:31,DrGJackBrown,,21,406,744,"At the present rate that the US government is providing testing for #COVID19 (an amount which Trump and Pence are bragging profusely), it would take 3,305 days to test every American — that's 9 years 20 days. Resign, Trump. #Coronavirus #25theAmendmentNow",,,#COVID19 #Coronavirus #25theAmendmentNow,1248388100381761541,https://twitter.com/DrGJackBrown/status/1248388100381761541
2020-04-09 23:10:54,SidneyPowell1,LouDobbs,119,2438,3267,"Very important. Please listen! @mikepillsbury @GordonGChang #China is lying and has long refused access for inspection of their lab. Four #Chinese generals have written books on biological warfare. @realDonaldTrump @RepRatcliffe #coronavirus #ChineseVirus @DrMartyFox",,@mikepillsbury @GordonGChang @realDonaldTrump @RepRatcliffe @DrMartyFox,#China #Chinese #coronavirus #ChineseVirus,1248387945859395585,https://twitter.com/SidneyPowell1/status/1248387945859395585
2020-04-09 22:45:29,MiaFarrow,,52,243,913,"#WhiteHouseBriefing is dangerous garbage. The drug he continues to push has not proven to be effective for coronavirus. It can kill you if you have a heart issue. We do NOT have adequate testing and until everyone can be tested, nobody should be sent back to work.",,,#WhiteHouseBriefing,1248381546811162626,https://twitter.com/MiaFarrow/status/1248381546811162626
2020-04-09 22:45:05,ExtinctionR,,10,174,433,"“I refuse to celebrate a drop in emissions driven by tens of millions of people losing their jobs. We need systemic change in our energy infrastructure, or emissions will roar back later.” #SystemChange is the only solution. #ActNow",,,#SystemChange #ActNow,1248381445673873408,https://twitter.com/ExtinctionR/status/1248381445673873408
2020-04-09 22:32:56,KTLA,,12,123,444,"A vacant Sears building in Riverside will be converted into the county's second temporary hospital to help ease the coronavirus' strain on local facilities ",,,,1248378390689677314,https://twitter.com/KTLA/status/1248378390689677314
2020-04-09 22:32:42,latimesopinion,,11,87,106,"Here's @kerryc_latimes, an editorial writer for @latimes covering Southern California with a focus on housing, transportation and environmental issues, on how coronavirus is going to create the mother of all housing crises if we don’t bail out renters soon ",,@kerryc_latimes @latimes,,1248378331201822722,https://twitter.com/latimesopinion/status/1248378331201822722
2020-04-09 22:22:17,yashar,,27,324,2491,"Rihanna, ⁦⁦@jack⁩ Dorsey Donate $4.2 Million for Domestic Violence Victims impacted by the coronavirus crisis ",,@jack,,1248375709329805312,https://twitter.com/yashar/status/1248375709329805312
2020-04-09 22:13:24,annehelen,,6,98,328,"The Amish mobilize to sew thousands of sewing masks, headed to the Cleveland Clinic:",,,,1248373475112128512,https://twitter.com/annehelen/status/1248373475112128512
2020-04-09 21:57:41,AngryBlackLady,,55,220,1323,"So glad I live here. | California Declares Independence From Trump's Coronavirus Plans - Bloomberg ",,,,1248369519627628550,https://twitter.com/AngryBlackLady/status/1248369519627628550
2020-04-09 21:50:13,ProjectLincoln,,353,7608,12845,"VIDEO - The President wasn't distracted. He just didn't care. @realdonaldtrump had time for rallies and golf - but not enough time to respond to #coronavirus. Because he just didn't care. Distracted https://youtu.be/UHjJydZO99A via @YouTube",,@realDonaldTrump @YouTube,#coronavirus,1248367637631053828,https://twitter.com/ProjectLincoln/status/1248367637631053828
2020-04-09 21:36:03,latimes,,61,289,543,"But it’s still shocking to see how quickly so many renters sank into financial distress, writes @kerryc_latimes. ""It’s another reminder that too many people live paycheck to paycheck, and teeter on the edge of losing their home even in normal times."" https://www.latimes.com/opinion/story/2020-04-09/renter-bail-out-rent-forgiveness",,@kerryc_latimes,,1248364072514412544,https://twitter.com/latimes/status/1248364072514412544
2020-04-09 21:36:02,latimes,,23,200,396,"It’s not really surprising that so many tenants couldn’t make the rent this month, considering that 16.6 million people — roughly one in 10 workers — have filed for unemployment in the last three weeks (via @latimesopinion) https://www.latimes.com/opinion/story/2020-04-09/renter-bail-out-rent-forgiveness",,@latimesopinion,,1248364070232657920,https://twitter.com/latimes/status/1248364070232657920
2020-04-09 21:36:02,latimes,,135,774,1124,"Nearly one in three renters in the U.S. failed to pay their April rent at the beginning of the month, a landlord industry group has warned (via @latimesopinion) https://www.latimes.com/opinion/story/2020-04-09/renter-bail-out-rent-forgiveness",,@latimesopinion,,1248364068664037376,https://twitter.com/latimes/status/1248364068664037376
2020-04-09 21:21:00,EFF,,2,45,84,"Tech built today won't just go away, says @kurtopsahl: ""We need to make sure we're building something that's for a future we would want to live in, not enabling a technology that may seem like a good idea now but that would last longer than the crisis.""",,@kurtopsahl,,1248360285796052993,https://twitter.com/EFF/status/1248360285796052993
2020-04-09 20:55:13,Cecil4allofus,,0,4,1,".@KCLUlive Expose This Now!! #CoronavirusPandemic #coronavirus ",,@KCLUlive,#CoronavirusPandemic #coronavirus,1248353798113742848,https://twitter.com/Cecil4allofus/status/1248353798113742848
2020-04-09 20:26:34,jennyyangtv,,25,240,990,"PLS SHARE & SAVE LIVES: the only easy DIY #coronavirusmask #tutorial you will need. following every step, &amp; watching &amp; sharing this video could save a life. DONT GO OUTSIDE WITHOUT A MASK ""HOW TO MAKE YOUR OWN CORONAVIRUS MASK"" pls make your own &amp; tag me w your photo or video ",,,#coronavirusmask #tutorial,1248346588784680960,https://twitter.com/jennyyangtv/status/1248346588784680960
2020-04-09 23:39:13,ACTBrigitte,,277,764,2283,"Fake News Jim @Acosta complains about being tested for #coronavirus! Jim, you are sitting in the SAME ROOM as the President Of The United States! Our great President @realDonaldTrump has PERFECT health and we intend to keep it that way for many more years!",,@Acosta @realDonaldTrump,#coronavirus,1248395070773972993,https://twitter.com/ACTBrigitte/status/1248395070773972993
2020-04-09 23:23:01,amazonwatch,,2,48,49,"Yesterday it was confirmed that the patient, a 15-year-old Yanomami boy, was being treated in an intensive care unit at a hospital in Boa Vista, the capital of the northern state of Roraima according to officials. #COVID19",,,#COVID19,1248390995034533890,https://twitter.com/amazonwatch/status/1248390995034533890
2020-04-09 23:20:33,Nerko69,,0,0,0,"[TESTING] CORONAVIRUS COVID-19 WW STATS &amp; NEWS HEADLINES https://youtu.be/Zksi6tadV_I via @YouTube #coronavirus #covid19",,@YouTube,#coronavirus #covid19,1248390372222332935,https://twitter.com/Nerko69/status/1248390372222332935
2020-04-09 23:15:36,TVietor08,,18,138,512,"This @washingtonpost piece is a great argument for not taking the briefings live. Most of the big things promised never happen.",,@washingtonpost,,1248389126820265984,https://twitter.com/TVietor08/status/1248389126820265984
2020-04-09 23:07:33,CaptMarkKelly,,6,67,142,"Preying on vulnerable Arizonans during this time of uncertainty is wrong. Here are some of the scams we’re aware of, but always check for verified sources and follow the advice of medical professionals. Stay safe.",,,,1248387099423731712,https://twitter.com/CaptMarkKelly/status/1248387099423731712
2020-04-09 22:54:14,enews,,16,109,576,"Angelina Jolie Pleads for Protection of Vulnerable Children During Coronavirus Pandemic ",,,,1248383748023828482,https://twitter.com/enews/status/1248383748023828482
2020-04-09 22:34:42,jennfranconews,,19,265,898,"#DEVELOPING: President Trump says Pfizer is working on a potential coronavirus treatment that blocks the new virus from replicating. He says the drug-maker hopes to start testing soon. (Thread)",,,#DEVELOPING,1248378835860475904,https://twitter.com/jennfranconews/status/1248378835860475904
2020-04-09 22:25:01,RealMiniAOC,,116,560,3379,"How does Nancy Pelosi breathe fire without burning her Coronavirus mask?",,,,1248376397044707339,https://twitter.com/RealMiniAOC/status/1248376397044707339
2020-04-09 22:24:17,latimes,,19,64,142,"""There’s simply too much at stake for Congress and the Trump administration to be passive observers of any eviction tidal wave. They have a moral obligation to save the U.S. from another housing crisis."" (via @latimesopinion)",,@latimesopinion,,1248376213623562241,https://twitter.com/latimes/status/1248376213623562241
2020-04-09 22:19:15,latimesopinion,,3,35,55,"A growing number of housing advocates and elected officials are calling on governors in California, New York and other states to use emergency powers to cancel rent and put a moratorium on landlords’ mortgage payments during the coronavirus emergency. https://www.latimes.com/opinion/story/2020-04-09/renter-bail-out-rent-forgiveness",,,,1248374948193697792,https://twitter.com/latimesopinion/status/1248374948193697792
2020-04-09 21:52:09,latimesent,,31,2144,6205,"#BTS announces free 'online concert weekend' to stream during the coronavirus shut-in ",,,#BTS #BTS,1248368124820361217,https://twitter.com/latimesent/status/1248368124820361217
2020-04-09 21:31:26,Baseball_Brat13,,0,0,9,"Coronavirus has nothing on this ailment ",,,,1248362912911175681,https://twitter.com/Baseball_Brat13/status/1248362912911175681
2020-04-09 21:15:34,sfpelosi,,52,455,1581,"Trump can’t cheerlead us into a false sense of security. #Coronavirus sets its own timeline - and we are only in the first wave of the pandemic. We need much more money in testing, hospitals, #PPE, essential workers, direct relief, therapies, and a vaccine. #ThursdayThoughts",,,#Coronavirus #PPE #ThursdayThoughts,1248358917857366016,https://twitter.com/sfpelosi/status/1248358917857366016
2020-04-09 20:59:13,JodieMoss76,RepMattGaetz,21,161,1311,"March 4: Matt Gaetz wears a gas mask onto House floor to mock democrats’ response to coronavirus.",,,,1248354804037976066,https://twitter.com/JodieMoss76/status/1248354804037976066
2020-04-09 20:51:54,LATlands,,2,26,59,"Some of the best advice you will hear today: ""Will having sex with somebody who’s infected with coronavirus put you at risk of getting coronavirus? Hell, yes."" https://www.latimes.com/lifestyle/story/2020-04-08/virologist-answers-embarrassing-coronavirus-questions",,,,1248352964718125061,https://twitter.com/LATlands/status/1248352964718125061
2020-04-09 20:13:18,ScottAdamsSays,rutesperanza,35,57,373,"Like the first robins of spring. #coronavirus ",,,#coronavirus,1248343250408075265,https://twitter.com/ScottAdamsSays/status/1248343250408075265
2020-04-09 20:08:32,davidminpdx,,107,1509,2611,"Brooklyn judge packs his courtroom, dies of coronavirus. https://www.nydailynews.com/coronavirus/ny-coronavirus-brooklyn-supreme-court-civil-covid-19-judges-attorneys-20200409-byebigdbpbcv3he7wf5hxombju-story.html?utm_source=The+Appeal&amp;utm_campaign=1d8d67c2c0-EMAIL_CAMPAIGN_2018_08_09_04_14_COPY_01&amp;utm_medium=email&amp;utm_term=0_72df992d84-1d8d67c2c0-58398699",,,,1248342051617267712,https://twitter.com/davidminpdx/status/1248342051617267712
2020-04-09 20:01:19,JennyENicholson,,305,438,10614,"It's never uncreepy to call a woman you don't know adorable over the internet but the one that takes the cake for me is when a guy started parasocially describing how ""adorable"" he imagined I looked sick in bed, after I said that I had coronavirus",,,,1248340232631488512,https://twitter.com/JennyENicholson/status/1248340232631488512
