subjectivity,polarity,cluster_pred
0.4089285714285714,0.04642857142857143,3
0.6000000000000001,0.7,0
0.275,0.175,3
0.375,-0.125,3
0.65,-0.425,2
0.0,-0.1,1
0.3092592592592593,0.12962962962962962,3
0.75,0.8,0
0.6888888888888888,-0.4138888888888889,2
0.45625,0.175,3
0.4291666666666667,0.2958333333333333,3
0.6439935064935065,0.07516233766233768,3
0.0,0.0,1
0.0,0.0,1
0.35,0.275,3
0.1,0.0,1
1.0,1.0,0
0.3,-0.2,1
0.4,0.0,3
0.5,0.5,0
0.5,0.13636363636363635,3
0.5333333333333333,0.2,3
0.75,1.0,0
0.675,0.225,3
0.25,-0.06875,1
0.2,0.25,3
0.7694444444444444,0.04999999999999999,3
0.75,0.25,0
0.3333333333333333,0.0,3
0.0,0.0,1
0.4,-0.25,2
0.5,0.5,0
0.0,0.0,1
0.0,0.0,1
0.275,0.175,3
0.0,0.0,1
0.2,0.05,1
0.6,0.5,0
0.5,0.5,0
1.0,0.52,0
0.5,-0.5,2
0.4545454545454545,0.13636363636363635,3
0.0,0.0,1
0.5305555555555556,0.2517361111111111,3
0.0,0.0,1
0.6785714285714286,0.0,3
0.5,0.0,3
0.4,-0.25,2
0.3,0.15,3
0.2,0.05,1
0.0,0.0,1
0.4772727272727273,0.3181818181818182,3
0.7,-0.6,2
0.5773809523809523,-0.02499999999999997,3
0.5,0.3181818181818182,0
0.0,0.0,1
0.0,0.0,1
0.6388888888888888,0.1388888888888889,3
0.5,0.13636363636363635,3
1.0,-0.125,2
0.5166666666666667,0.25,3
0.6272727272727273,0.2681818181818182,0
0.95,-0.4,2
0.0,0.0,1
0.0,0.0,1
0.3,1.0,0
0.5357142857142857,0.2857142857142857,3
0.5,0.5,0
0.0,0.0,1
0.4147727272727273,0.005681818181818178,3
0.4545454545454545,0.13636363636363635,3
0.05,0.0,1
0.2,0.05,1
0.3666666666666667,-0.0625,3
0.0,0.0,1
1.0,-0.5,2
0.4,0.15,3
0.15,0.05,1
0.25,0.06818181818181818,3
0.1,0.0,1
0.3875,-0.0875,3
0.14444444444444446,0.05,1
0.0625,0.0,1
0.5357142857142857,0.2857142857142857,3
0.6,-0.4,2
0.4098484848484849,0.12670454545454546,3
0.3,-0.2,1
0.0,0.0,1
0.5227272727272727,0.3636363636363637,0
0.0,0.0,1
0.4111111111111112,0.22777777777777775,3
0.75,0.36818181818181817,0
0.0,0.0,1
0.5333333333333333,-0.13333333333333333,2
0.15833333333333333,-0.004166666666666668,1
0.7666666666666666,0.2916666666666667,0
0.25,0.25,3
0.4888888888888889,-0.1,3
0.4,0.0,3
0.45,0.02500000000000001,3
0.0,-0.025,1
0.35714285714285715,0.0,3
0.8,0.4,0
0.5,0.13636363636363635,3
0.7,0.5,0
0.5333333333333333,-0.13333333333333333,2
0.5,-0.16666666666666666,2
0.5348484848484848,0.07878787878787878,3
0.5,0.5,0
0.74,0.435,0
0.0,0.0,1
0.0,0.0,1
0.5,0.0,3
0.0,0.0,1
0.7272727272727273,-0.3818181818181817,2
0.2333333333333333,-0.022222222222222213,1
0.5333333333333333,-0.13333333333333333,2
0.15000000000000002,0.15000000000000002,1
0.7222222222222222,0.05555555555555556,3
