Tweet,Cluster
"""I’m not looking for American heroism,"" the economist Jeffrey Sachs said. ""I’m looking for the United States not to be among the most destructive forces on the planet right now.""",1
Some GOOD news:  #girlscouts #tellmesomethinggood,1
"THREAD: There's risk a second wave of #COVID19 in Fall 2020 will coincide with flu season; and surging covid infections will confound ability to ramp testing, make full use of syndromic surveillance, preserve hospital capacity. What can we do to prepare? ",5
"Asked about Georgia opening tattoo parlors, nail salons and other businesses where people have to be close, Trump said, ""Are they doing testing before they go in? We have to find that out."" He said he's going to be asking Kemp. (No, nail salons aren't doing coronavirus testing.)",0
"President Trump blasted #harvarduniversity for getting #coronavirus aid but school says: “Harvard did not apply for, nor has it received any funds through the U.S. Small Business Administration’s Paycheck Protection Program.” Harvard got CARES Act $for struggling students",0
"In front of White House, nurses read names of colleagues killed by coronavirus ",5
"Trump is shutting down immigration when we’ve never needed immigrants more. More than half of doctorate holders in engineering, computer science and mathematics are foreign-born—as are nearly 40% of medical scientists. Without them we can’t innovate. ",1
Great insight from #tiger from #genpact,1
If the Coronavirus is so deadly and spreading rapidly in America why are people mad that President Trump is suspending immigration for 60 days ? SERIOUS QUESTION! Can someone please help me understand? #ImmigrationBan,0
"President Trump on the coronavirus possibly having a second wave after re-openings: ""I really believe we will be able to put out the fires. It's like fires. And we've learned a lot.""",0
"Trump just now: ""You know, not everybody wants to do such significant testing. Testing is good in some cases, and in some cases it's not."" NBC News: Experts say coronavirus testing must double or triple before the U.S. can safely reopen. ",2
"Trump not sounding as certain as he once was about hydroxychloroquine, responding that he will look at new VA study showing the drug is not effective against coronavirus: “always willing to take a look.”",0
Dr. Birx says that the U.S. has one of the lowest coronavirus mortality rates in the world ,5
"Birx: US has one of the lowest Coronavirus death rates in the world, credits frontline healthcare workers.",5
According to several officials Rick Bright who is a leading vaccine development expert and the director of the Biomedical Advanced Research and Development Authority (BARDA) has left his position.,1
GOP senator who pushed 'miracle' drug to treat coronavirus rejects study showing it actually may lead to increased deaths ,1
AWESOME! WATCH OUT WHITMER - AG Barr Says He May Go After Governors Who Persist on Authoritarian Coronavirus Lockdown Orders  via @gatewaypundit,1
"CDC chief says there could be second, possibly worse coronavirus outbreak this winter ",1
"I was hearing a lot of chatter about a last-minute push today to insert a provision into the current coronavirus bill to prevent banks &amp; debt collectors from seizing the $1,200 checks Update: The measure did not make it into the legislation ",5
"Bruce Springsteen, Danny DeVito, Whoopi Goldberg, more join forces in ‘Jersey 4 Jersey’ coronavirus relief show. How to watch.  #Jersey4Jersey",1
Holding a briefing with updates on #Coronavirus. Watch Live: ,7
"BREAKING: Since noon, Georgia surpassed 800 coronavirus-related deaths and 20,000 confirmed cases of COVID-19, according to the Georgia Department of Public Health. ",2
"#DOPE... GREAT WORK! MY BROTHER! @LouyFierce Please Follow all my Twitter Accounts? Text me? Let's Chat? 1-(313)-856-6153 @RHYTHM_______ #PLEASEFOLLOWALLOFMYTWITTERACCOUNTS ,  , @LOVEGODSPEOPLES",1
"The coronavirus pandemic could further threaten press freedom around the world, according to this year’s World Press Freedom Index. The report says the U.S. and Brazil are becoming models of hostility toward the news media. ",5
"#Corona blog 37 NJ Cses/Dths 92,387/4,753 North NJ is past peak, but virus is spreading south, causes 5 Central NJ hosps to hit capacity Storm shuts test centers today 2 patients recover after getting experimental plasma therapy Pic: Break the rules and you get your park closed!",1
"#LockHerUp FOR REAL: Sen. Kelly Loeffler sold between $1.2M and $3.1M worth of stock in the three weeks beginning on Jan 24—the day of a closed-door, all-Senator briefing on the coronavirus  02 #TuesdayThoughts",1
Not sure if true #GatesHacked #coronavirus ,1
"On Friday, @mviser and I began asking Michigan about the contracts they had awarded to firms with prominent Democratic ties to collect health data and track coronavirus. There were various answers and statements. Now the Whitmer admin has cancelled them. ",1
"Michigan Gov. Gretchen Whitmer's admin quietly awarded coronavirus tracing contracts to two firms w/prominent Democratic ties. One consultant awarded the deal wrote online he hoped POTUS got infected. After questions, state will cancel deals. w/@mviser: ",1
Holding a briefing at 7:15 PM ET on #Coronavirus. Watch here: ,7
"Remember Scott Pruitt? Well, a coal company he lobbied for got $10 million from a federal loan program intended to rescue faltering small businesses during coronavirus. This is the revolving door at work. ",1
UPDATE: Trump was grilled Tuesday about his flogging of an anti-malaria drug as a coronavirus treatment after a government-funded study showed it was associated with more deaths. He dodged. ,0
